rrq4k/6p1/2N4p/8/6R1/5n2/4K3/1B6 b - - acn 2939550; acs 5; bm Qxg4 Rb2+ Rxb1; ce 32756; dm 6; pv Rb2+ Bc2 Rxc2+ Ke3 Ra3+ Kf4 Qc7+ Ke4 Rc4+ Nd4 Qe5#;
8/q1N5/1b1p1r2/1b2kp2/2p4P/n5P1/4KRN1/7n b - - acn 646498; acs 1; bm Bxc7 Bxf2 Nb1; ce 32756; dm 6; pv Nb1 Rxf5+ Rxf5 Na6 c3+ Kd1 Ba4+ Ke1 Bf2+ Kf1 Nxg3#;
8/q1B5/5rpp/1R1n1bkp/p6r/4N2p/5P2/2b3K1 b - - acn 632769; acs 1; bm Bxe3 Nxc7 Qxc7 Qxe3; ce 32756; dm 6; pv Nxc7 f4+ Rxf4 Rxf5+ R6xf5 Kh1 Qb7+ Nd5 Qxd5+ Kg1 Qg2#;
8/prp4q/2Pn4/2kP1b2/1R1p4/8/2N2B1b/1K1R3r b - - acn 186962; acs 0; bm Bxc2+ Rxb4+ Rxd1+; ce 32756; dm 6; pv Bxc2+ Ka1 Rxd1+ Ka2 Bb3+ Kxb3 Rb1+ Ka3 Ra1+ Kb3 Rxb4#;
8/pr1p1p1b/6R1/8/1Bp4k/8/6pp/1K1B1r2 b - - acn 677802; acs 1; bm Bxg6+ Rxb4+ Rxd1+ fxg6 g1=Q; ce 32756; dm 6; pv Bxg6+ Kb2 Rxb4+ Kc3 a5 Be2 g1=Q Bxf1 Qe3+ Bd3 Qxd3#;
8/pqr1N2p/6pn/nB4p1/PP1k4/6K1/2P2P2/8 b - - acn 451250; acs 1; bm Qh1; ce 32756; dm 6; pv Qh1 Nc6+ Rxc6 Bd3 Qg1+ Kh3 Ng4 c3+ Rxc3 f3 Nf2#;
8/pqQ5/7K/8/1NP5/2PP4/PP1N4/k7 w - - acn 167667; acs 0; bm Nb3+ Qxb7; ce 32756; dm 6; pv Nb3+ Kb1 Qxb7 Kxb2 Qg2+ Ka3 Nc5 a6 Qd2 a5 Qc1#;
8/ppr1p1k1/6p1/2nBNr1p/8/8/PPP3R1/2K4R w - - acn 33713; acs 0; bm Rxg6+; ce 32756; dm 6; pv Rxg6+ Kh8 Nf7+ Kh7 Rh6+ Kg7 Rg1+ Rg5 Rxg5+ Kf8 Rh8#;
8/pppkP3/5KB1/8/8/P4ppP/1PP2p2/5q2 w - - acn 36186; acs 0; bm e8=Q+; ce 32756; dm 6; pv e8=Q+ Kd6 Qe6+ Kc5 b4+ Kb5 Qe5+ c5 Qxc5+ Ka4 Qa5#;
8/ppp4k/2nb1Pq1/3Bp1Q1/1P6/2P3P1/P4P2/7K w - - acn 107547; acs 0; bm Qh4+; ce 32756; dm 6; pv Qh4+ Qh6 Be4+ Kg8 Qxh6 Kf7 Qg6+ Kf8 Bd5 e4 Qg8#;
8/pp6/8/3ppKB1/1P1k4/8/1N1P1b2/8 w - - acn 105748; acs 0; bm Be7; ce 32756; dm 6; pv Be7 b6 Bg5 Bg1 Bf6 Bh2 Bh4 e4 Bf2+ e3 Bxe3#;
8/pp6/1b1q3p/3p4/2r5/5R2/4Q1PP/1k5K w - - acn 19153; acs 0; bm Rb3+; ce 32756; dm 6; pv Rb3+ Kc1 Qb2+ Kd1 Rd3+ Ke1 Qd2+ Kf1 Rf3+ Bf2 Rxf2#;
8/pp5k/5npp/2r2B2/5Q2/P1q2R1P/2P1p1P1/3R2K1 w - - acn 30916; acs 0; bm Rd7+; ce 32756; dm 6; pv Rd7+ Nxd7 Bxg6+ Kxg6 Qf7+ Kg5 Qg8+ Qg7 Qxg7+ Kh5 Qg4#;
8/pp4k1/2p2rpp/3pQ3/3P2P1/7P/2R5/3K1B1q w - - acn 29852; acs 0; bm Rf2; ce 32756; dm 6; pv Rf2 Qxf1+ Rxf1 h5 Qxf6+ Kh6 g5+ Kh7 Qe7+ Kh8 Rf8#;
8/pp3r2/q4r1p/1Q6/2K5/3N4/8/5k2 b - - acn 366531; acs 1; bm Rc7+; ce 32756; dm 6; pv Rc7+ Nc5 Rf4+ Kd5+ Qxb5 Ke5 Rc4 Kf5 Rc6 Ke5 Qxc5#;
8/pp3pPk/3prBp1/3q3p/5Q2/3P1R2/PP2r1PP/5R1K w - - acn 76748; acs 0; bm Qh6+; ce 32756; dm 6; pv Qh6+ Kxh6 g8=Q Rxf6 Qh8+ Kg5 Rg3+ Kh4 Qxf6+ Qg5 Qxg5#;
8/pp1r2k1/6pp/PP2p2n/1QPp4/3PNbPq/R4P1P/5RK1 b - - acn 1580812; acs 2; bm Nf6; ce 32756; dm 6; pv Nf6 Qc5 Ng4 Qxe5+ Kh7 Qe7+ Rxe7 Re1 Qxh2+ Kf1 Qh1#;
8/pp1pppp1/8/kpK5/7P/1P1P2P1/1Pp1PP2/nR1r1r1n b - - acn 235292; acs 0; bm Nxb3+ cxb1=N cxb1=Q d6+; ce 32756; dm 6; pv d6+ Kd5 cxb1=Q b4+ Ka6 h5 Rxd3+ Ke4 Rxg3+ Kf4 e5#;
8/pp1kb1p1/4p3/P5Q1/5q2/3p3K/1P1P3P/1RB5 b - - acn 309687; acs 1; bm Bxg5; ce 32756; dm 6; pv Bxg5 Kg2 Qg4+ Kf2 Bf6 Ke3 Qe2+ Kf4 Bh4 h3 g5#;
8/pp1kR3/4pPp1/3pB3/8/P2b4/1Pr5/4KB1r b - - acn 1203; acs 0; bm Kd8; ce 32756; dm 6; pv Kd8 Bc7+ Kc8 Re8+ Kxc7 Re7+ Kd6 Rd7+ Kxd7 f7 Rxf1#;
8/pp1kP1p1/Rn1q1nR1/1p1P1r1b/5p2/b3p3/r5QK/8 b - - acn 376123; acs 1; bm Bf3 Bg4 f3+; ce 32756; dm 6; pv f3+ Kh3 Bg4+ Rxg4 Rh5+ Rh4 Rxg2 e8=Q+ Nxe8 Rxh5 Qg3#;
8/pbr5/1B1kr3/1P6/K1Pp4/8/8/8 b - - acn 223342; acs 0; bm Rxc4+ axb6; ce 32756; dm 6; pv Rxc4+ Ka3 Re3+ Ka2 axb6 Kb2 Bd5 Ka2 Rb4+ Ka1 Re1#;
8/pb6/pkpp4/1q2p3/P7/PPPP4/8/7K b - - acn 72283; acs 0; bm Qd5+ c5+; ce 32756; dm 6; pv c5+ Kg1 Qc6 a5+ Kc7 Kf1 Qg2+ Ke1 Bf3 d4 Qe2#;
8/pb5n/3p4/3B4/r2NK2B/p6k/6p1/8 b - - acn 580483; acs 1; bm g1=Q; ce 32756; dm 6; pv g1=Q Bf6 Nxf6+ Kf5 Nxd5 Ke6 Qg6+ Kd7 Qf7+ Kd8 Qe7#;
8/pR6/4p2p/4P2P/Pp2p1p1/8/pp4P1/rk1K4 w - - acn 45131; acs 0; bm Rc7; ce 32756; dm 6; pv Rc7 g3 Rc2 e3 a5 e2+ Rxe2 b3 Re1 a6 Kd2#;
8/pQ5b/p1K1p3/k2pN3/8/p7/8/Rnb5 w - - acn 1232515; acs 2; bm Kd7 Qb3; ce 32756; dm 6; pv Qb3 Bc2 Qxc2 Bd2 Qc5+ Ka4 Qd4+ Bb4 Rxb1 a2 Qxb4#;
8/pPpk1pPb/8/8/6p1/2N1P3/PRPPNPBP/2B1K1R1 w - - acn 9141086; acs 19; bm Nd4 Nd5 Nf4 b8=Q; ce 32756; dm 6; pv b8=Q g3 Qb5+ Ke7 Qe5+ Kd8 Rb8+ Kd7 Bc6+ Kxc6 Qd5#;
8/pP6/3k1r2/3q4/3Q4/3K4/8/8 w - - acn 7067; acs 0; bm b8=Q+; ce 32756; dm 6; pv b8=Q+ Ke6 Qc8+ Ke7 Qxd5 Rf3+ Qxf3 Kd6 Qcc6+ Ke7 Qff6#;
8/pN6/B7/2N5/pk6/8/2K5/8 w - - acn 174217; acs 0; bm Nd3+; ce 32756; dm 6; pv Nd3+ Ka3 Na5 Ka2 Nc1+ Ka1 Nb7 a3 Na5 a2 Ncb3#;
8/pN2Rp2/K4p1n/3P1r2/2Bk2rN/P2P4/3P1P1p/8 w - - acn 374579; acs 1; bm Na5; ce 32756; dm 6; pv Na5 Kc5 Rd7 Kd4 f4 Rgxf4 Kb5 a6+ Kb6 h1=Q Nc6#;
8/pN2Bpp1/Kp6/3p4/k6P/1p1Pp3/6pr/3B2b1 w - - acn 172885; acs 0; bm Na5; ce 32756; dm 6; pv Na5 bxa5 Bg4 f5 Bh5 g6 Be2 g5 d4 g4 Bb5#;
8/pK6/N7/k1N5/2B5/2p5/8/8 w - - acn 224056; acs 0; bm Bd3; ce 32756; dm 6; pv Bd3 c2 Bxc2 Kb5 Bb3 Ka5 Kc7 Kb5 Nb7 Kxa6 Bc4#;
8/pB6/r1NK4/b2N4/pn6/q2rB3/R7/1b1n3k b - - acn 982092; acs 2; bm Rxd5+; ce 32756; dm 6; pv Rxd5+ Ke6 Qxe3+ Kf7 Rf5+ Kg7 Qg5+ Kh7 Rf6+ Rc2 Rh6#;
8/pB6/3r4/Rb5r/2kpp3/p1p5/6K1/8 b - - acn 155306; acs 0; bm Rg5+ Rg6+; ce 32756; dm 6; pv Rg5+ Kf2 Rf6+ Ke2 Rg2+ Ke1 Rg1+ Ke2 d3+ Ke3 Re1#;
8/pB3pk1/P1N1b1np/1R2p3/3r1p2/6P1/3r1PKP/1R6 b - - acn 657972; acs 2; bm f3+; ce 32756; dm 6; pv f3+ Kxf3 Nh4+ gxh4 R4d3+ Kg2 Bh3+ Kg1 Rd1+ Rxd1 Rxd1#;
8/p7/rp6/kp6/1p6/1P6/1P2N3/1K3n2 w - - acn 5583; acs 0; bm Nd4; ce 32756; dm 6; pv Nd4 Nd2+ Ka1 Nxb3+ Nxb3+ Ka4 Ka2 Ra5 Nc5+ bxc5 b3#;
8/p7/rp3p2/1r2pP2/1p1pP3/kPpP1K2/6p1/1Q4Bb w - - acn 125802; acs 0; bm Qc2; ce 32756; dm 6; pv Qc2 Rc5 Ke2 b5 Kd1 Rd5 Kc1 Rc5 Kb1 Rd5 Qa2#;
8/p7/rBB3Kp/p6P/p3p2p/Rbb3k1/5p2/4N3 b - - acn 75282; acs 0; bm f1=Q; ce 32756; dm 6; pv f1=Q Bc7+ Kh3 Nf3 Qg2+ Bg3 Qxg3+ Ng5+ Qxg5+ Kh7 Qg7#;
8/p7/r1p5/Nk6/Np1P4/1Q6/8/K7 w - - acn 58534; acs 0; bm Qc4+; ce 32756; dm 6; pv Qc4+ Kxa5 Nc5 Rb6 Qa2+ Kb5 Kb1 a6 Kc1 b3 Qa4#;
8/p7/r1p2K2/1B6/n3k3/4p3/2P2pP1/8 b - - acn 40087; acs 0; bm cxb5+; ce 32756; dm 6; pv cxb5+ Kf7 f1=Q+ Kg7 Qf6+ Kg8 Qg6+ Kh8 Qg5 g3 Rh6#;
8/p7/q5p1/2R3P1/6p1/2N3P1/1pp1pP1P/brk1K3 w - - acn 34696; acs 0; bm Rb5; ce 32756; dm 6; pv Rb5 Qe6 Rd5 Qa6 Rc5 Qe6 Rc6 a6 Rxe6 a5 Na2#;
8/p7/pQ6/p5p1/P5P1/5ppB/5p1p/5Kbk b - - acn 726; acs 0; bm axb6; ce 32756; dm 6; pv axb6 Bg2+ fxg2+ Ke2 f1=Q+ Kd2 Qc4 Kd1 Be3 Ke1 Qf1#;
8/p7/p7/p7/p7/2p5/p6P/k1K5 w - - acn 1183; acs 0; bm h3; ce 32756; dm 6; pv h3 c2 h4 a3 h5 a4 h6 a5 h7 a6 h8=Q#;
8/p7/p7/8/kPK5/p7/P7/8 w - - acn 682; acs 0; bm Kc5; ce 32756; dm 6; pv Kc5 a5 b5 a6 Kc4 axb5+ Kc5 b4 Kc4 b3 axb3#;
8/p7/p7/8/8/kB6/2K1p3/4B3 w - - acn 84812; acs 0; bm Ba5; ce 32756; dm 6; pv Ba5 e1=N+ Bxe1 a5 Bxa5 a6 Bd2 a5 Kc3 a4 Bc1#;
8/p7/p1NPP3/P1k2ppp/2P3p1/2P1R1K1/4QPPN/8 w - - acn 9943; acs 0; bm Nxg4 Re5+; ce 32756; dm 6; pv Re5+ Kxc6 Rxf5 h4+ Kxg4 h3 Qe4+ Kxd6 Rf7 hxg2 Qd5#;
8/p7/kPP5/p1P5/P1P5/p4P1p/p1p2K1p/8 w - - acn 1573; acs 0; bm b7; ce 32756; dm 6; pv b7 h1=N+ Ke2 Ng3+ Kd3 c1=N+ Kc2 a1=N+ Kd1 Ne4 b8=N#;
8/p7/k7/8/P1K5/P7/8/1R6 w - - acn 121139; acs 0; bm a5; ce 32756; dm 6; pv a5 Kxa5 a4 Ka6 a5 Kxa5 Rb2 a6 Rb1 Ka4 Ra1#;
8/p7/k7/4K2R/Pq6/pr1p3B/4P3/4B1bb b - - acn 313810; acs 1; bm Qd4+ Qe4+; ce 32756; dm 6; pv Qd4+ Ke6 Rb6+ Kf7 Qf6+ Kg8 Rb8+ Bc8+ Rxc8+ Kh7 Rh8#;
8/p7/k1K5/8/5p2/5B2/1P6/8 w - - acn 50922; acs 0; bm Kc5; ce 32756; dm 6; pv Kc5 Ka5 Bc6 Ka6 b4 f3 Ba8 f2 Kc6 f1=Q Bb7#;
8/p7/k1K5/8/3p4/8/p5p1/7N b - - acn 249312; acs 0; bm g1=Q gxh1=Q+; ce 32756; dm 6; pv gxh1=Q+ Kc5 Qh5+ Kc6 Qf5 Kd6 a1=Q Kc6 Qc1+ Kd6 Qcc5#;
8/p7/R2B1K2/3k4/8/5N2/8/8 w - - acn 1427257; acs 2; bm Ne5; ce 32756; dm 6; pv Ne5 Kd4 Ra3 Ke4 Rd3 a6 Bc5 a5 Bf2 a4 Rd4#;
8/p7/PpnNR3/1p1k1B2/4N3/4P3/1K2n3/8 w - - acn 383602; acs 1; bm Nf6+; ce 32756; dm 6; pv Nf6+ Kc5 Nb7+ Kb4 Rxc6 Nc3 Rxc3 Ka4 Bc2+ Kb4 Nd5#;
8/p7/Pp6/1Pp4p/2P3Pp/2kPK2p/1Rrnp2P/2b5 b - - acn 283093; acs 1; bm e1=Q+; ce 32756; dm 6; pv e1=Q+ Kf4 Qe6 Rxc2+ Kxc2 gxh5 Ne4+ Kf3 Qf5+ Ke2 Qf2#;
8/p7/Pb6/N1kPK3/r1r5/p7/P7/8 b - - acn 170737; acs 0; bm Bxa5 Rxa5; ce 32756; dm 6; pv Bxa5 Kf5 Rg4 Ke5 Rae4+ Kf6 Kxd5 Kf7 Bb4 Kf6 Ref4#;
8/p7/PR4P1/2pN4/p1P5/p5NP/1B2Ppk1/1K5R w - - acn 299962; acs 1; bm Be5 Ne3+ g7; ce 32756; dm 6; pv Ne3+ Kxg3 g7 f1=Q+ Rxf1 a2+ Ka1 a3 g8=Q+ Kxh3 Rh1#;
8/p7/P7/PKp5/P1P5/bkp5/Nrp5/8 b - - acn 26518; acs 0; bm Kxa2+ Rxa2; ce 32756; dm 6; pv Kxa2+ Kc6 c1=Q Kd6 Qh6+ Kd7 Re2 Kc7 Re7+ Kc8 Qf8#;
8/p7/P7/P5p1/8/3P4/1PKPpp2/4kb1R w - - acn 83054; acs 0; bm b3; ce 32756; dm 6; pv b3 g4 b4 g3 b5 g2 Rh4 g1=Q Rb4 Qh1 Rb1#;
8/p7/P7/8/1pk1b3/8/K7/8 b - - acn 38176; acs 0; bm Kc3; ce 32756; dm 6; pv Kc3 Ka1 Bf5 Ka2 b3+ Ka3 b2 Ka4 b1=Q Ka5 Qb4#;
8/p7/P4br1/KNN2kq1/PP1P1nb1/5p2/5P2/8 b - - acn 499375; acs 1; bm Bd8+; ce 32756; dm 6; pv Bd8+ Nc7 Nd5 N5e6 Nxc7 d5 Rxe6 d6 Re5+ b5 Qd2#;
8/p7/P1R5/1B1k4/8/2P1K3/8/8 w - - acn 222905; acs 0; bm Kf3; ce 32756; dm 6; pv Kf3 Ke5 Bc4 Kf5 Re6 Kg5 Bd3 Kh5 Kf4 Kh4 Rh6#;
8/p7/K2pNP2/3k4/2R1n1rp/6nP/2N1Q2B/8 w - - acn 1145239; acs 2; bm Bxg3 Nd8 Ne3+ Nf8 Ng7; ce 32756; dm 6; pv Ne3+ Ke5 Qxg4 Nc5+ Rxc5+ Kxf6 Nd5+ Kf7 Rc7+ Ke8 Nf6#;
8/p7/K2p4/3pkNB1/3N4/P4P2/8/8 w - - acn 465016; acs 1; bm Ka5; ce 32756; dm 6; pv Ka5 a6 Kb4 a5+ Kc3 a4 Bh4 Kf4 Ne7 Ke3 Nxd5#;
8/p7/B7/7p/P3K1pr/7b/1p2p2p/6k1 b - - acn 832913; acs 2; bm b1=Q+ e1=Q+ e1=R+ g3+ h1=Q+; ce 32756; dm 6; pv h1=Q+ Ke5 e1=Q+ Be2 Qxe2+ Kf5 Qhf3+ Kg5 Qe7+ Kg6 Qff6#;
8/p7/B5p1/kPP3Pb/pb2p1pK/p3P1P1/P3P3/2Q5 w - - acn 72904; acs 0; bm Bc8 Qd1 c6; ce 32756; dm 6; pv c6 Bd6 Qd2+ Kb6 Qd4+ Ka5 Qxd6 Kb6 Qd8+ Kc5 Qd4#;
8/p7/8/p1K1P3/k2N4/8/1P6/8 w - - acn 38527; acs 0; bm e6; ce 32756; dm 6; pv e6 a6 Kd5 Kb4 e7 a4 e8=Q a3 Qe1+ Ka4 b3#;
8/p7/8/K7/3bn3/8/2P1pR2/6k1 b - - acn 311116; acs 1; bm Bxf2 e1=Q+; ce 32756; dm 6; pv e1=Q+ Kb5 Nc3+ Kb4 Qxf2 Kc4 Be5 Kb4 Qb6+ Kc4 Qb5#;
8/p7/8/K2R2B1/Qp3r1q/r1pb4/2pNkp2/2n1b3 b - - acn 395666; acs 1; bm cxd2; ce 32756; dm 6; pv cxd2 Bxf4 Nb3+ Kxb4 d1=Q+ Kxa3 Qa1+ Kxb3 c1=N+ Bxc1 Qhxa4#;
8/p7/8/8/P7/pN6/k1K5/8 w - - acn 12668; acs 0; bm Nc5; ce 32756; dm 6; pv Nc5 a6 Nxa6 Ka1 Nc5 Ka2 Nd3 Ka1 Nc1 a2 Nb3#;
8/p7/8/8/6P1/2K5/kB5N/8 w - - acn 21987; acs 0; bm Kc2 Nf1 Nf3 g5; ce 32756; dm 6; pv g5 a5 g6 a4 g7 a3 g8=Q+ Kb1 Qg1+ Ka2 Qa1#;
8/p7/8/4p1p1/8/4p1p1/3kP1P1/5BK1 b - - acn 1161; acs 0; bm a5; ce 32756; dm 6; pv a5 Kh1 a4 Kg1 a3 Kh1 a2 Kg1 a1=Q Kh1 Qxf1#;
8/p7/8/3k4/8/4p1p1/4P1P1/5BK1 b - - acn 971; acs 0; bm a5; ce 32756; dm 6; pv a5 Kh1 a4 Kg1 a3 Kh1 a2 Kg1 a1=Q Kh1 Qxf1#;
8/p7/8/3R4/2p5/7R/2k1P3/5K2 w - - acn 784904; acs 1; bm Ke1 Rc5; ce 32756; dm 6; pv Rc5 c3 Rcxc3+ Kb2 e4 a6 Rce3 a5 Rh2+ Kb1 Re1#;
8/p7/8/1P6/7p/P7/5K2/5B1k w - - acn 23352; acs 0; bm Bh3; ce 32756; dm 6; pv Bh3 a6 Bg2+ Kh2 b6 h3 b7 hxg2 b8=Q+ Kh3 Qg3#;
8/p7/8/1P6/7p/5B1k/P4K2/8 w - - acn 61021; acs 0; bm a3; ce 32756; dm 6; pv a3 a6 b6 a5 b7 a4 b8=R Kh2 Rb1 h3 Rh1#;
8/p7/8/1Kp5/2P4P/4B2p/PP5p/4N2k w - - acn 189595; acs 0; bm h5; ce 32756; dm 6; pv h5 a6+ Kxc5 a5 h6 a4 h7 a3 h8=Q axb2 Qa8#;
8/p7/8/1K6/p3pp2/2k1r3/3pp3/6B1 b - - acn 352558; acs 1; bm d1=Q e1=Q; ce 32756; dm 6; pv e1=Q Kc5 Qf1 Bf2 d1=Q Be1+ Rxe1 Kc6 Qa6+ Kc7 Qdd6#;
8/p7/6q1/1k6/6N1/8/8/2rB2K1 b - - acn 1734610; acs 3; bm Qxg4+ Rxd1+; ce 32756; dm 6; pv Rxd1+ Kh2 Rf1 Ne5 Qh6+ Kg2 Qf4 Nc6 Rf2+ Kg1 Qh2#;
8/p7/6p1/6p1/8/6p1/5kP1/7K b - - acn 1243; acs 0; bm Ke2; ce 32756; dm 6; pv Ke2 Kg1 a5 Kh1 a4 Kg1 a3 Kh1 a2 Kg1 a1=Q#;
8/p7/5p2/5P2/k1K5/2R5/8/8 w - - acn 62906; acs 0; bm Rd3; ce 32756; dm 6; pv Rd3 a6 Rd5 Ka3 Kc3 Ka4 Rc5 a5 Rd5 Ka3 Rxa5#;
8/p7/4R2B/3K1k1p/8/7P/8/8 w - - acn 376457; acs 1; bm Ra6; ce 32756; dm 6; pv Ra6 h4 Bg5 Kxg5 Ke5 Kh5 Kf6 Kh6 Rxa7 Kh5 Rh7#;
8/p7/3r4/2p4p/2P2P1k/7p/1B5N/2K4N w - - acn 55240; acs 0; bm Bc3; ce 32756; dm 6; pv Bc3 Re6 Ba5 Re8 Kd1 a6 Kc1 Rg8 Be1+ Rg3 Bxg3#;
8/p7/3B2k1/PbN1P1P1/6K1/6R1/4rr2/8 b - - acn 117682; acs 0; bm Re4+; ce 32756; dm 6; pv Re4+ Kh3 Bf1+ Rg2 Re3+ Kg4 Be2+ Kh4 Rf4+ Rg4 Rxg4#;
8/p7/2pq4/p1nkN1b1/2N5/ppr1RP2/2P4p/R3KB1r b - - acn 52423; acs 0; bm Rxf1+; ce 32756; dm 6; pv Rxf1+ Ke2 Rxc2+ Nd2 Rxd2+ Kxd2 Qxe5 Rae1 Qb2+ Kd1 Qc2#;
8/p7/2pP3r/1p3R2/8/5K1k/PPP3N1/8 w - - acn 389386; acs 1; bm Nf4+ d7; ce 32756; dm 6; pv Nf4+ Kh2 d7 Rh3+ Nxh3 c5 d8=Q c4 Qd2+ Kxh3 Qh6#;
8/p7/1p3k2/1N6/P4p2/5K2/2p2P1P/3r4 b - - acn 867009; acs 1; bm c1=Q; ce 32756; dm 6; pv c1=Q h4 Qc6+ Kxf4 Rd3 Nd4 Qg2 h5 Qxf2+ Nf3 Qxf3#;
8/p7/1nn5/B7/B6p/R3q1k1/K4p2/3rN3 b - - acn 120596; acs 0; bm Ra1+; ce 32756; dm 6; pv Ra1+ Kxa1 Qxa3+ Kb1 Nxa5 Nc2 f1=Q+ Ne1 Qxe1+ Bd1 Qxd1#;
8/p7/1b6/2p4K/1B1p4/3p1B1p/3P1Qbp/5Rrk w - - acn 1086498; acs 2; bm Re1; ce 32756; dm 6; pv Re1 Bc7 Bxc5 Be5 Bxa7 Bf6 Qg3 Bg7 Qxh3 Bxf3+ Qxf3#;
8/p6p/P5pP/Rp4K1/bp6/kp6/3R4/1B6 w - - acn 256720; acs 1; bm Re2; ce 32756; dm 6; pv Re2 b2 Re3+ b3 Re4 b4 Rxa4+ Kxa4 Re5 Ka3 Ra5#;
8/p6p/P4p2/5K2/6Pk/7p/P6P/8 w - - acn 1929; acs 0; bm a3; ce 32756; dm 6; pv a3 h6 a4 h5 g5 fxg5 a5 g4 Kf4 g3 hxg3#;
8/p6p/3N1Qnk/6p1/8/3p4/PP3KPP/2q5 w - - acn 61794; acs 0; bm Nf7+; ce 32756; dm 6; pv Nf7+ Kh5 Qf3+ g4 Qf5+ Kh4 g3+ Kh3 Qh5+ Nh4 Qxh4#;
8/p6R/8/6p1/4Qrk1/6p1/P1P2PK1/3q4 w - - acn 8067; acs 0; bm Rh4+; ce 32756; dm 6; pv Rh4+ Kxh4 Qh7+ Qh5 fxg3+ Kg4 Qd7+ Rf5 Qd1+ Rf3 Qxf3#;
8/p6Q/p1k1K3/8/8/8/4PP2/8 w - - acn 869708; acs 1; bm Qc2+ Qd3 Qe7 Qf5 Qg7 Qh3 Qh8; ce 32756; dm 6; pv Qc2+ Kb5 f3 a5 Kd5 a4 Qb2+ Ka5 Kc5 a3 Qb5#;
8/p6Q/p1k1K3/8/8/8/4PP2/8 w - - acn 867739; acs 1; bm Qc2+ Qd3 Qe7 Qf5 Qg7 Qh3 Qh8; ce 32756; dm 6; pv Qc2+ Kb5 f3 a5 Kd5 a4 Qb2+ Ka5 Kc5 a3 Qb5#;
8/p6K/r3p3/1nR1pk1p/4N1br/4P3/1b3N2/8 w - - acn 113532; acs 0; bm Rc8; ce 32756; dm 6; pv Rc8 Ba3 Rg8 Be7 Rg7 Nd6 Rf7+ Nxf7 Ng3+ Kg5 Nfe4#;
8/p5pr/k1K1pp1r/8/1PR3p1/1p1p4/6Bb/8 w - - acn 17191; acs 0; bm Rc1; ce 32756; dm 6; pv Rc1 b2 Rc3 b1=N Bf1 Rh3 Rxd3 Nc3 Re3+ Nb5 Bxb5#;
8/p5pp/3K4/4Q1Pk/8/8/8/8 w - - acn 763161; acs 1; bm g6+; ce 32756; dm 6; pv g6+ Kxg6 Ke6 a6 Qf5+ Kh6 Qg4 g6 Kf6 g5 Qh3#;
8/p5p1/p1p1p3/P2nq1B1/Pkp4R/2b5/1r1n4/3Q2K1 b - - acn 326463; acs 1; bm Ne4 Nf3+ Qg3+ Qxg5+; ce 32756; dm 6; pv Nf3+ Kf1 Nxh4 Bd2 Ne3+ Bxe3 Qf5+ Qf3 Qxf3+ Bf2 Rb1#;
8/p5p1/8/8/P4RP1/3k4/3P4/3K4 w - - acn 79937; acs 0; bm a5; ce 32756; dm 6; pv a5 g6 g5 a6 Kc1 Ke2 Kc2 Ke1 Kd3 Kd1 Rf1#;
8/p5p1/4p1P1/4P1P1/1NppkpP1/3p1N2/1K1P3p/7Q w - - acn 372210; acs 1; bm Ka3; ce 32756; dm 6; pv Ka3 a5 Nc6 Kd5 Ncxd4 c3 Qb1 h1=Q Qb3+ Kc5 Qb5#;
8/p5kp/1p1p1r2/3Pp3/1BP1q3/4p1bP/P3Q1P1/6RK b - - acn 588285; acs 1; bm Rh6; ce 32756; dm 6; pv Rh6 Qg4+ Qxg4 Rf1 Rxh3+ Kg1 Rh1+ Kxh1 Qh4+ Kg1 Qh2#;
8/p4pkr/1n3bp1/2p1Q2p/1q2P3/1N1R2N1/Pr3PP1/2R3K1 w - - acn 135676; acs 0; bm Nf5+; ce 32756; dm 6; pv Nf5+ gxf5 Rg3+ Kf8 Qd6+ Be7 Qb8+ Nc8 Qxc8+ Bd8 Qxd8#;
8/p4pkr/1n3bp1/2p1Q2p/1q2P3/1B1R2N1/Pr3PP1/2R3K1 w - - acn 208855; acs 1; bm Nf5+; ce 32756; dm 6; pv Nf5+ gxf5 Rg3+ Kf8 Rg8+ Kxg8 Qe8+ Kg7 Qxf7+ Kh8 Qg8#;
8/p4pkr/1n3bp1/2p1Q2p/1q2P3/1B1R2N1/Pr3PP1/2R2K2 w - - acn 141932; acs 0; bm Nf5+; ce 32756; dm 6; pv Nf5+ gxf5 Rg3+ Kf8 Rg8+ Kxg8 Qe8+ Kg7 Qxf7+ Kh8 Qg8#;
8/p4p2/B4r2/pp2p3/b1krRp2/3pp3/2P5/7K b - - acn 80675; acs 0; bm d2; ce 32756; dm 6; pv d2 Bxb5+ Bxb5 Rxd4+ exd4 c3 d1=Q+ Kh2 Rh6+ Kg2 Qh1#;
8/p4p2/8/8/2p5/K1k5/7P/3Q4 w - - acn 302425; acs 0; bm h4; ce 32756; dm 6; pv h4 f6 h5 a6 h6 a5 h7 a4 h8=R f5 Rh3#;
8/p4p2/5p2/5K2/7B/1p2p3/1Pp1N3/nkN5 w - - acn 185475; acs 0; bm Bg3; ce 32756; dm 6; pv Bg3 a6 Bc7 a5 Bxa5 Kxb2 Nd3+ Ka2 Nc3+ Ka3 Bb4#;
