rr6/PPPPkPP1/4P2B/5P2/8/1q5n/3K4/8 w - - acn 55674; acs 0; bm f8=Q+; ce 32754; dm 7; pv f8=Q+ Rxf8 gxf8=Q+ Rxf8 d8=Q+ Rxd8+ cxd8=Q+ Kxd8 b8=Q+ Qxb8 axb8=Q+ Ke7 Qf8#;
8/8/8/8/1b6/p2k4/8/2K5 b - - acn 68510; acs 0; bm Bd2+; ce 32754; dm 7; pv Bd2+ Kb1 Kc3 Ka2 Kb4 Kb1 Kb3 Ka1 Bc3+ Kb1 a2+ Kc1 a1=Q#;
8/8/8/8/1b6/1k2K3/p7/8 b - - acn 238054; acs 0; bm Bd6 a1=Q; ce 32754; dm 7; pv a1=Q Kf3 Qf1+ Kg3 Bd6+ Kg4 Qf4+ Kh5 Qf5+ Kh4 Qg6 Kh3 Qg3#;
8/8/8/8/1b2K3/1k6/p7/8 b - - acn 1461471; acs 1; bm a1=Q; ce 32754; dm 7; pv a1=Q Kf4 Qf1+ Kg4 Be7 Kg3 Kc3 Kg4 Kd3 Kg3 Ke3 Kg4 Qf3#;
8/8/8/8/1R6/k1P5/1p6/bK6 w - - acn 48925; acs 0; bm Rb7; ce 32754; dm 7; pv Rb7 Ka4 c4 Ka5 c5 Ka6 c6 Ka5 c7 Ka6 c8=Q Ka5 Qa8#;
8/8/8/8/1R6/3K4/5k2/8 w - - acn 19772; acs 0; bm Rf4+; ce 32754; dm 7; pv Rf4+ Kg2 Ke2 Kg3 Re4 Kg2 Re3 Kg1 Kf3 Kh1 Kg3 Kg1 Re1#;
8/8/8/8/1R4k1/7p/4rb2/7K b - - acn 31501; acs 0; bm Kf3; ce 32754; dm 7; pv Kf3 Rb3+ Be3 Rb4 Re1+ Kh2 Bf4+ Rxf4+ Kxf4 Kxh3 Re2 Kh4 Rh2#;
8/8/8/8/1PkNK3/5P1N/1B6/8 w - - acn 2962592; acs 3; bm Ba3; ce 32754; dm 7; pv Ba3 Kc3 Ke3 Kc4 Nf4 Kc3 Nd5+ Kc4 Nb6+ Kc3 Ke2 Kxd4 Bb2#;
8/8/8/8/1P6/2K5/4P3/k7 w - - acn 6654; acs 0; bm b5; ce 32754; dm 7; pv b5 Kb1 b6 Kc1 b7 Kd1 b8=Q Ke1 Qh2 Kf1 Kd3 Ke1 Qg1#;
8/8/8/8/1P6/1R2p3/3k4/4NK2 w - - acn 307799; acs 0; bm b5; ce 32754; dm 7; pv b5 Kd1 b6 e2+ Kf2 Kd2 b7 Kd1 Rb1+ Kd2 b8=Q Kc3 Qb4#;
8/8/8/8/1Nb1p3/4B1K1/8/3B3k w - - acn 3934892; acs 4; bm Nd3; ce 32754; dm 7; pv Nd3 Bxd3 Bh5 Be2 Bg6 Bf3 Bh7 Bg2 Bf5 Bh3 Bxe4+ Bg2 Bxg2#;
8/8/8/8/1NB5/p2p4/P7/k1K5 w - - acn 180356; acs 0; bm Bb3; ce 32754; dm 7; pv Bb3 d2+ Kxd2 Kb1 Nd3 Ka1 Bc2 Kxa2 Kc3 Ka1 Nc1 a2 Nb3#;
8/8/8/8/1N6/pNK5/8/1k6 w - - acn 122024; acs 0; bm Nc2; ce 32754; dm 7; pv Nc2 Ka2 Ncd4 Kb1 Nb5 Ka2 Nd2 Ka1 Kc2 Ka2 Nc3+ Ka1 Nb3#;
8/8/8/8/1N3p2/5B2/1P6/K1k2N2 w - - acn 1595768; acs 2; bm Nc6; ce 32754; dm 7; pv Nc6 Kc2 Be2 f3 Nd4+ Kc1 Nxf3 Kc2 N1d2 Kc1 Nb3+ Kc2 Nfd4#;
8/8/8/8/1K6/8/6k1/2q5 b - - acn 3405; acs 0; bm Kf2 Kf3 Qc6 Qc7; ce 32754; dm 7; pv Qc6 Kb3 Kf2 Ka3 Qb6 Ka4 Ke2 Ka3 Kd2 Ka4 Kc2 Ka3 Qb3#;
8/8/8/8/1K6/8/4k3/5q2 b - - acn 9852; acs 0; bm Kd3 Qc1 Qd1 Qf5 Qf6 Qf7 Qf8+ Qh3; ce 32754; dm 7; pv Qf8+ Kc4 Qd6 Kc3 Qc5+ Kb3 Kd2 Kb2 Qb5+ Ka2 Kc2 Ka3 Qb3#;
8/8/8/8/1K6/6k1/8/5q2 b - - acn 232; acs 0; bm Kf4; ce 32754; dm 7; pv Kf4 Kb3 Qb5+ Kc2 Qb4 Kc1 Ke4 Kd1 Qb2 Ke1 Ke3 Kf1 Qf2#;
8/8/8/8/1K6/6k1/8/2q5 b - - acn 5930; acs 0; bm Kf2 Kf3 Kf4 Qc6 Qc7; ce 32754; dm 7; pv Qc6 Kb3 Kf3 Ka3 Qb6 Ka4 Ke3 Ka3 Kd3 Ka4 Kc3 Ka3 Qb3#;
8/8/8/8/1K6/5k2/8/7q b - - acn 489; acs 0; bm Ke4 Qc1 Qh5; ce 32754; dm 7; pv Qc1 Kb5 Qc7 Kb4 Ke3 Ka4 Qb7 Ka5 Kd3 Ka4 Kc4 Ka5 Qb5#;
8/8/8/8/1K6/5k2/8/5q2 b - - acn 2685; acs 0; bm Ke4 Kf4 Qa6 Qc1; ce 32754; dm 7; pv Qc1 Kb5 Qc7 Kb4 Ke3 Ka4 Qb7 Ka5 Kd3 Ka4 Kc4 Ka5 Qb5#;
8/8/8/8/1K6/4k3/5p2/8 b - - acn 40; acs 0; bm Kd4; ce 32754; dm 7; pv Kd4 Kb5 f1=Q+ Kb6 Qf6+ Kb7 Kc5 Kc7 Qf7+ Kc8 Kc6 Kd8 Qd7#;
8/8/8/8/1K4k1/8/8/5q2 b - - acn 721; acs 0; bm Kf4 Kf5; ce 32754; dm 7; pv Kf4 Kb3 Qb5+ Kc2 Qb4 Kc1 Ke4 Kd1 Qb2 Ke1 Ke3 Kf1 Qf2#;
8/8/8/8/1K3p2/1N3P2/1kN4P/8 w - - acn 245828; acs 0; bm Na3 Ne1; ce 32754; dm 7; pv Na3 Ka2 h4 Kb2 h5 Ka2 h6 Kb2 h7 Ka2 h8=R Kb2 Rh2#;
8/8/8/8/1K3k2/8/8/q7 b - - acn 1163; acs 0; bm Ke4 Ke5 Kf5 Qa2 Qa6 Qa7 Qa8 Qc1 Qd1 Qd4+ Qe1+ Qe5 Qf1 Qf6; ce 32754; dm 7; pv Qe1+ Kc4 Ke5 Kc5 Qc3+ Kb5 Kd6 Kb6 Qb3+ Ka6 Kc6 Ka7 Qb7#;
8/8/8/8/1K3k2/8/8/5q2 b - - acn 1532; acs 0; bm Ke4 Ke5 Kf5 Qa6 Qc1 Qd1 Qd3 Qe1+ Qe2; ce 32754; dm 7; pv Qe1+ Kc4 Ke5 Kc5 Qc3+ Kb5 Kd6 Kb6 Qb3+ Ka6 Kc6 Ka7 Qb7#;
8/8/8/8/1K2k3/8/7p/8 b - - acn 179; acs 0; bm Kd4 Kd5 h1=Q; ce 32754; dm 7; pv h1=Q Kc4 Qc1+ Kb4 Qc6 Kb3 Kd3 Ka3 Qb6 Ka4 Kc3 Ka3 Qb3#;
8/8/8/8/1K2k3/8/5p2/8 b - - acn 345; acs 0; bm Kd4 Kd5 f1=Q; ce 32754; dm 7; pv f1=Q Kc5 Qf6 Kc4 Qc6+ Kb4 Kd3 Kb3 Qb6+ Ka3 Kc3 Ka4 Qb4#;
8/8/8/8/1K2k3/8/4p3/8 b - - acn 1546; acs 0; bm Kd4 Kd5 e1=Q+; ce 32754; dm 7; pv e1=Q+ Kc5 Qa5+ Kc6 Ke5 Kd7 Qb5+ Ke7 Qb7+ Ke8 Ke6 Kf8 Qf7#;
8/8/8/8/1K1k4/8/7r/8 b - - acn 1436; acs 0; bm Rb2+; ce 32754; dm 7; pv Rb2+ Ka4 Rb1 Ka5 Kc4 Ka6 Kc5 Ka7 Kc6 Ka8 Kc7 Ka7 Ra1#;
8/8/8/8/1K1k4/8/6r1/8 b - - acn 2105; acs 0; bm Rb2+; ce 32754; dm 7; pv Rb2+ Ka4 Rb1 Ka5 Kc4 Ka6 Kc5 Ka7 Kc6 Ka8 Kc7 Ka7 Ra1#;
8/8/8/8/1K1k4/8/5r2/8 b - - acn 1669; acs 0; bm Rb2+; ce 32754; dm 7; pv Rb2+ Ka4 Rb1 Ka5 Kc4 Ka6 Kc5 Ka7 Kc6 Ka8 Kc7 Ka7 Ra1#;
8/8/8/8/1K1k4/8/4r3/8 b - - acn 1403; acs 0; bm Rb2+; ce 32754; dm 7; pv Rb2+ Ka4 Rb1 Ka5 Kc4 Ka6 Kc5 Ka7 Kc6 Ka8 Kc7 Ka7 Ra1#;
8/8/8/8/1K1k4/8/3r4/8 b - - acn 3664; acs 0; bm Rb2+; ce 32754; dm 7; pv Rb2+ Ka4 Rb1 Ka5 Kc4 Ka6 Kc5 Ka7 Kc6 Ka8 Kc7 Ka7 Ra1#;
8/8/8/8/1K1k4/8/2r5/8 b - - acn 18770; acs 0; bm Rb2+; ce 32754; dm 7; pv Rb2+ Ka4 Rb1 Ka5 Kc4 Ka6 Kc5 Ka7 Kc6 Ka8 Kc7 Ka7 Ra1#;
8/8/8/8/1K1Q4/8/2p5/1k6 w - - acn 82981; acs 0; bm Qd3 Qe4; ce 32754; dm 7; pv Qe4 Kb2 Qg2 Kb1 Kb3 c1=N+ Ka3 Ne2 Qe4+ Kc1 Qxe2 Kb1 Qd1#;
8/8/8/8/1BN5/3K4/8/3k4 w - - acn 560287; acs 0; bm Ba5 Bc3 Nb2+ Ne3+; ce 32754; dm 7; pv Nb2+ Kc1 Kc3 Kb1 Nd3 Ka2 Kc2 Ka1 Bc5 Ka2 Nc1+ Ka1 Bd4#;
8/8/8/7r/6K1/4k3/8/8 b - - acn 496; acs 0; bm Ra5 Rb5 Rc5 Rd5 Re5; ce 32754; dm 7; pv Re5 Kg3 Rg5+ Kh4 Kf4 Kh3 Rg6 Kh2 Kf3 Kh1 Kf2 Kh2 Rh6#;
8/8/8/7r/5k2/8/4K3/8 b - - acn 1051; acs 0; bm Rd5; ce 32754; dm 7; pv Rd5 Kf2 Rd2+ Ke1 Ke3 Kf1 Rc2 Kg1 Kf3 Kh1 Kg3 Kg1 Rc1#;
8/8/8/7r/1K6/4k3/8/8 b - - acn 8248; acs 0; bm Kd3; ce 32754; dm 7; pv Kd3 Kb3 Rb5+ Ka4 Kc4 Ka3 Rb6 Ka2 Kc3 Ka1 Kc2 Ka2 Ra6#;
8/8/8/7r/1K6/3k4/8/8 b - - acn 7695; acs 0; bm Rd5 Re5 Rf5 Rg5; ce 32754; dm 7; pv Rg5 Kb3 Rb5+ Ka4 Kc4 Ka3 Rb6 Ka2 Kc3 Ka1 Kc2 Ka2 Ra6#;
8/8/8/7q/3K4/8/6k1/8 b - - acn 277; acs 0; bm Kf2 Kf3 Qb5; ce 32754; dm 7; pv Qb5 Ke4 Qc5 Kf4 Qd5 Ke3 Qc4 Kd2 Kf2 Kd1 Ke3 Ke1 Qc1#;
8/8/8/7q/3K4/6k1/8/8 b - - acn 683; acs 0; bm Kf2 Kf3 Kf4 Qb5; ce 32754; dm 7; pv Qb5 Kc3 Qa4 Kd3 Kf3 Kc3 Ke3 Kb2 Kd3 Kb1 Kc3 Kc1 Qa1#;
8/8/8/7q/3K2k1/8/8/8 b - - acn 87; acs 0; bm Kf3 Kf4 Qb5; ce 32754; dm 7; pv Qb5 Kc3 Qa4 Kd3 Kf4 Kc3 Ke3 Kb2 Kd3 Kb1 Kc3 Kc1 Qa1#;
8/8/8/7q/2K5/8/6k1/8 b - - acn 905; acs 0; bm Kf2 Kf3 Qa5; ce 32754; dm 7; pv Qa5 Kd4 Kf2 Ke4 Qc5 Kf4 Qd5 Kg4 Qe5 Kh4 Kf3 Kh3 Qg3#;
8/8/8/7q/2K3k1/8/8/8 b - - acn 1059; acs 0; bm Kf3 Kf4 Qa5; ce 32754; dm 7; pv Qa5 Kd4 Kf4 Kc4 Ke4 Kb3 Kd3 Kb2 Qb5+ Ka2 Kc3 Ka3 Qb3#;
8/8/8/7p/KR3r1p/8/R1B3kP/3b4 w - - acn 643331; acs 1; bm Rxf4; ce 32754; dm 7; pv Rxf4 Kh3 Ra3+ Bf3 Bf5+ Kxh2 Rfxf3 h3 Rf2+ Kg1 Rd2 h2 Ra1#;
8/8/8/7p/8/6kb/8/7K b - - acn 54744; acs 0; bm Bc8 Bd7 Be6 Bf1 Bf5 Bg4 Kf2; ce 32754; dm 7; pv Bf1 Kg1 Be2 Kh1 h4 Kg1 h3 Kh1 Bf3+ Kg1 h2+ Kf1 h1=Q#;
8/8/8/7p/8/5k2/6p1/3K4 b - - acn 25084; acs 0; bm Ke3 Ke4 g1=Q+; ce 32754; dm 7; pv g1=Q+ Kc2 Qc5+ Kb2 Qb4+ Ka2 Ke3 Ka1 Kd3 Ka2 Kc3 Ka1 Qb2#;
8/8/8/7p/8/5k2/3K2p1/8 b - - acn 96446; acs 0; bm Ke4 g1=Q; ce 32754; dm 7; pv g1=Q Kc2 Qc5+ Kb2 Qb4+ Ka2 Ke3 Ka1 Kd3 Ka2 Kc3 Ka1 Qb2#;
8/8/8/7p/8/4k3/5p2/5K2 b - - acn 441; acs 0; bm h4; ce 32754; dm 7; pv h4 Kg2 h3+ Kg3 h2 Kh3 h1=Q+ Kg4 Qh6 Kg3 Qf4+ Kh3 f1=Q#;
8/8/8/7p/8/3k4/4pK2/8 b - - acn 60574; acs 0; bm Kd2; ce 32754; dm 7; pv Kd2 Kf3 e1=Q Kf4 Qe6 Kf3 Qg4+ Kf2 h4 Kf1 h3 Kf2 Qg2#;
8/8/8/7p/7p/1N3N1K/7B/7k w - - acn 130640; acs 0; bm Bg3; ce 32754; dm 7; pv Bg3 hxg3 Kxg3 h4+ Kf2 h3 Nh2 Kxh2 Nd2 Kh1 Nf1 h2 Ng3#;
8/8/8/7p/7k/7p/4p2P/2B1K1NR w K - acn 1182999; acs 1; bm Nxe2; ce 32754; dm 7; pv Nxe2 Kg4 O-O h4 Rf6 Kh5 Re6 Kg4 Re5 Kf3 Nd4+ Kg4 Rg5#;
8/8/8/7p/7P/P7/5K1k/5B2 w - - acn 74654; acs 0; bm a4; ce 32754; dm 7; pv a4 Kh1 a5 Kh2 a6 Kh1 a7 Kh2 a8=R Kh1 Ra3 Kh2 Rh3#;
8/8/8/7p/7P/5k2/3K2p1/8 b - - acn 92441; acs 0; bm Ke4 g1=Q; ce 32754; dm 7; pv g1=Q Kc2 Qc5+ Kb2 Qb4+ Ka2 Ke3 Ka1 Kd3 Ka2 Kc3 Ka1 Qb2#;
8/8/8/7p/7P/3N2K1/2N1p3/7k w - - acn 93052; acs 0; bm Nce1 Nde1; ce 32754; dm 7; pv Nde1 Kg1 Ne3 Kh1 Nc4 Kg1 Nd2 Kh1 Ne4 Kg1 Nf3+ Kh1 Nf2#;
8/8/8/7p/5Q2/7k/6p1/6Kb w - - acn 101703; acs 0; bm Qg5; ce 32754; dm 7; pv Qg5 h4 Kf2 g1=Q+ Qxg1 Bf3 Qg6 Bg4 Qc6 Bf3 Qxf3+ Kh2 Qg2#;
8/8/8/7p/4K3/8/7k/6q1 b - - acn 175896; acs 0; bm Qc5; ce 32754; dm 7; pv Qc5 Kd3 h4 Kd2 Qc4 Kd1 Kg3 Kd2 Kf3 Kd1 Ke3 Ke1 Qc1#;
8/8/8/7p/3K4/6k1/8/5q2 b - - acn 612527; acs 1; bm Kf4 Qb5 h4; ce 32754; dm 7; pv h4 Ke4 h3 Kd4 h2 Ke4 h1=Q+ Kd4 Qc6 Ke3 Qc5+ Ke4 Qfc4#;
8/8/8/7p/3K3P/8/6k1/5q2 b - - acn 57173; acs 0; bm Qb5; ce 32754; dm 7; pv Qb5 Ke4 Qc5 Kf4 Qd5 Ke3 Qc4 Kd2 Kf2 Kd1 Ke3 Ke1 Qc1#;
8/8/8/7p/3K3P/6k1/8/5q2 b - - acn 92697; acs 0; bm Kf4 Qb5; ce 32754; dm 7; pv Qb5 Kc3 Qa4 Kd3 Kf3 Kc3 Ke3 Kb2 Kd3 Kb1 Kc3 Kc1 Qa1#;
8/8/8/7p/3K3P/6k1/8/4q3 b - - acn 726089; acs 1; bm Kf4; ce 32754; dm 7; pv Kf4 Kc4 Ke5 Kc5 Qc3+ Kb5 Kd6 Kb6 Qb3+ Ka6 Kc6 Ka7 Qb7#;
8/8/8/7p/1r1p1K2/RP1P1P1p/B6k/R7 w - - acn 346833; acs 0; bm Bb1; ce 32754; dm 7; pv Bb1 Rb6 R3a2+ Kh1 Bc2+ Kh2 Bd1+ Kh1 Be2+ Kh2 Bf1+ Kh1 Bxh3#;
8/8/8/7p/1K2k2P/8/5p2/8 b - - acn 248373; acs 0; bm Kd4 Kd5 f1=Q; ce 32754; dm 7; pv f1=Q Kc5 Qf6 Kc4 Qc6+ Kb4 Kd3 Kb3 Qb6+ Ka3 Kc3 Ka4 Qb4#;
8/8/8/7n/8/4K3/6pk/8 b - - acn 1035714; acs 1; bm g1=Q+; ce 32754; dm 7; pv g1=Q+ Kd3 Qc5 Kd2 Qc4 Kd1 Qc3 Ke2 Nf4+ Kf2 Qg3+ Kf1 Qg1#;
8/8/8/7k/8/8/6K1/5r2 b - - acn 2860; acs 0; bm Rf4 Rf5 Rf6 Rf7 Rf8; ce 32754; dm 7; pv Rf4 Kg3 Rf5 Kh3 Rg5 Kh2 Kh4 Kh1 Kg3 Kg1 Rf5 Kh1 Rf1#;
8/8/8/7k/8/6K1/5R2/8 w - - acn 14406; acs 0; bm Kf4; ce 32754; dm 7; pv Kf4 Kg6 Kg4 Kh6 Kf5 Kg7 Kg5 Kh7 Kf6 Kh8 Kf7 Kh7 Rh2#;
8/8/8/7k/8/1K6/5R2/1B6 w - - acn 1968896; acs 2; bm Rg2; ce 32754; dm 7; pv Rg2 Kh6 Bf5 Kh5 Kc3 Kh6 Kd3 Kh5 Ke3 Kh6 Kf4 Kh5 Rh2#;
8/8/8/7k/4N3/5pR1/p4P2/K7 w - - acn 387413; acs 0; bm Rg8; ce 32754; dm 7; pv Rg8 Kh6 Ng5 Kh5 Nf7 Kh4 Rg5 Kh3 Ne5 Kh4 Nxf3+ Kh3 Rg3#;
8/8/8/7k/4N3/5p2/5P2/K5R1 w - - acn 879003; acs 1; bm Rg8; ce 32754; dm 7; pv Rg8 Kh6 Ng5 Kh5 Nf7 Kh4 Rg5 Kh3 Ne5 Kh4 Nxf3+ Kh3 Rg3#;
8/8/8/7k/1p3K2/6R1/8/8 w - - acn 216303; acs 0; bm Kf5 Rg5+; ce 32754; dm 7; pv Rg5+ Kh6 Kf5 b3 Kf6 b2 Rb5 b1=Q Rxb1 Kh7 Rb8 Kh6 Rh8#;
8/8/8/7b/7n/4k3/8/5K2 b - - acn 296940; acs 0; bm Be2+; ce 32754; dm 7; pv Be2+ Kg1 Kf3 Kh2 Bf1 Kg1 Ke2 Kh1 Kf2 Kh2 Nf3+ Kh1 Bg2#;
8/8/8/7b/3k1p1P/8/8/4K3 b - - acn 195740; acs 0; bm Ke3; ce 32754; dm 7; pv Ke3 Kf1 f3 Kg1 f2+ Kf1 Be2+ Kg2 f1=Q+ Kh2 Bf3 h5 Qg2#;
8/8/8/7R/3k1p2/8/B2K4/8 w - - acn 841951; acs 1; bm Rd5+; ce 32754; dm 7; pv Rd5+ Ke4 Ke2 f3+ Kf2 Kf4 Bb1 Kg4 Rf5 Kh4 Kxf3 Kh3 Rh5#;
8/8/8/7R/1k6/3K4/8/8 w - - acn 8633; acs 0; bm Rd5 Re5 Rf5 Rg5; ce 32754; dm 7; pv Rg5 Kb3 Rb5+ Ka4 Kc4 Ka3 Rb6 Ka2 Kc3 Ka1 Kc2 Ka2 Ra6#;
8/8/8/7P/5k2/8/6K1/7r b - - acn 25140; acs 0; bm Rxh5; ce 32754; dm 7; pv Rxh5 Kf2 Re5 Kg2 Re2+ Kf1 Kf3 Kg1 Re1+ Kh2 Rf1 Kh3 Rh1#;
8/8/8/7N/N3k3/4p3/4n3/R3K2R w - - acn 3777253; acs 4; bm Kxe2; ce 32754; dm 7; pv Kxe2 Kd5 Nf4+ Ke5 Nb6 Kf5 Rh6 Kg5 Rg6+ Kf5 Kxe3 Ke5 Ra5#;
8/8/8/7N/8/2ppppKp/1prkbp2/b1rnqrn1 w - - acn 13952; acs 0; bm Nf6; ce 32754; dm 7; pv Nf6 Rb1 Ne4+ Kc1 Nc5 Rd2 Nb3+ Kc2 Nd4+ Kc1 Kh2 c2 Nb3#;
8/8/8/7N/5p2/4b2p/1K5k/2r5 b - - acn 1406122; acs 1; bm Kg1; ce 32754; dm 7; pv Kg1 Nf6 h2 Nd7 h1=Q Nb6 Qh8+ Kb3 Qc3+ Ka4 Ra1+ Kb5 Qc5#;
8/8/8/7K/8/8/6r1/4k3 b - - acn 4375; acs 0; bm Ke2 Kf2; ce 32754; dm 7; pv Ke2 Kh6 Ke3 Kh7 Ke4 Kh8 Ke5 Kh7 Kf6 Kh8 Kf7 Kh7 Rh2#;
8/8/8/7K/8/8/5kr1/8 b - - acn 6241; acs 0; bm Ke2 Ke3 Kf3 Rg1 Rg3; ce 32754; dm 7; pv Rg3 Kh6 Kf3 Kh7 Kf4 Kh8 Kf5 Kh7 Kf6 Kh8 Kf7 Kh7 Rh3#;
8/8/8/7K/8/8/2k5/6r1 b - - acn 44841; acs 0; bm Kd2 Kd3; ce 32754; dm 7; pv Kd2 Kh6 Ke3 Kh7 Ke4 Kh8 Ke5 Kh7 Kf6 Kh8 Kf7 Kh7 Rh1#;
8/8/8/7K/8/6r1/5k2/8 b - - acn 37736; acs 0; bm Ke2 Ke3 Kf3 Kg2 Rg1 Rg2; ce 32754; dm 7; pv Rg2 Kh6 Kf3 Kh7 Kf4 Kh8 Kf5 Kh7 Kf6 Kh8 Kf7 Kh7 Rh2#;
8/8/8/7K/8/4k3/5p2/8 b - - acn 1983; acs 0; bm Kd4 Ke4 Kf4 f1=Q; ce 32754; dm 7; pv f1=Q Kg6 Qf8 Kg5 Qe7+ Kf5 Kf3 Kg6 Kf4 Kh6 Kf5 Kh5 Qg5#;
8/8/8/7K/5kp1/7b/8/8 b - - acn 52077; acs 0; bm g3; ce 32754; dm 7; pv g3 Kh6 g2 Kg6 g1=Q+ Kf6 Qg5+ Kf7 Kf5 Kf8 Kf6 Ke8 Qg8#;
8/8/8/7B/8/8/5r1p/2Q1Kn1k w - - acn 940592; acs 1; bm Qc6+; ce 32754; dm 7; pv Qc6+ Kg1 Qh1+ Kxh1 Kxf2 Nd2 Bg6 Nf3 Bf7 Nd4 Bd5+ Nf3 Bxf3#;
8/8/8/7B/6Pk/4N1N1/7K/8 w - - acn 1625327; acs 1; bm Ngf5+; ce 32754; dm 7; pv Ngf5+ Kg5 Kg3 Kf6 Kf4 Ke6 Be8 Kf6 Nd5+ Ke6 Nc7+ Kf6 g5#;
8/8/8/6rP/5k2/7K/8/8 b - - acn 109679; acs 0; bm Rxh5+; ce 32754; dm 7; pv Rxh5+ Kg2 Re5 Kf2 Kg4 Kg2 Rf5 Kh2 Kf3 Kh1 Kf2 Kh2 Rh5#;
8/8/8/6r1/8/6B1/p1p5/k1Kb4 w - - acn 5522; acs 0; bm Be1; ce 32754; dm 7; pv Be1 Rc5 Bb4 Rc6 Bf8 Rg6 Bc5 Rg4 Ba3 Rb4 Bxb4 Be2 Bc3#;
8/8/8/6r1/7p/3K2k1/8/8 b - - acn 304236; acs 0; bm h3; ce 32754; dm 7; pv h3 Ke3 h2 Kd3 h1=Q Kc3 Qc1+ Kd3 Rd5+ Ke4 Qh1+ Ke3 Qf3#;
8/8/8/6r1/5k2/8/4K3/8 b - - acn 1440; acs 0; bm Rd5; ce 32754; dm 7; pv Rd5 Kf2 Rd2+ Ke1 Ke3 Kf1 Rc2 Kg1 Kf3 Kh1 Kg3 Kg1 Rc1#;
8/8/8/6r1/4k3/8/4K3/8 b - - acn 1711; acs 0; bm Rg2+; ce 32754; dm 7; pv Rg2+ Ke1 Rh2 Kf1 Ke3 Kg1 Rf2 Kh1 Kf3 Kg1 Kg3 Kh1 Rf1#;
8/8/8/6r1/1K6/3k4/8/8 b - - acn 8589; acs 0; bm Rd5 Re5 Rf5 Rh5; ce 32754; dm 7; pv Rh5 Kb3 Rb5+ Ka4 Kc4 Ka3 Rb6 Ka2 Kc3 Ka1 Kc2 Ka2 Ra6#;
8/8/8/6q1/3K4/8/7k/8 b - - acn 1803; acs 0; bm Qb5; ce 32754; dm 7; pv Qb5 Ke4 Kg2 Kf4 Qd5 Ke3 Qc4 Kd2 Kf2 Kd1 Ke3 Ke1 Qc1#;
8/8/8/6q1/3K4/8/6k1/8 b - - acn 1219; acs 0; bm Kf2 Kf3 Qb5; ce 32754; dm 7; pv Qb5 Ke4 Qc5 Kf4 Qd5 Ke3 Qc4 Kd2 Kf2 Kd1 Ke3 Ke1 Qc1#;
8/8/8/6q1/3K4/6k1/8/8 b - - acn 715; acs 0; bm Kf2 Kf3 Kf4 Qb5; ce 32754; dm 7; pv Qb5 Kc3 Qa4 Kd3 Kf3 Kc3 Ke3 Kb2 Kd3 Kb1 Kc3 Kc1 Qa1#;
8/8/8/6pp/6p1/6k1/R7/4K2R w - - acn 2423386; acs 2; bm Ra4 Re2 Rf2; ce 32754; dm 7; pv Re2 h4 Rg1+ Kh3 Re5 g3 Rxg5 g2 Kf2 Kh2 R5xg2+ Kh3 Rh1#;
8/8/8/6p1/8/8/2K3k1/5q2 b - - acn 77024; acs 0; bm Kf2 Kf3 Qb5 Qc4+ Qf3 Qf4; ce 32754; dm 7; pv Qc4+ Kb2 Qb4+ Kc2 g4 Kc1 Kf3 Kc2 Ke3 Kc1 Kd3 Kd1 Qb1#;
8/8/8/6p1/8/5k2/8/4bK2 b - - acn 33431; acs 0; bm Ba5 Bb4 Bc3 Bd2; ce 32754; dm 7; pv Bd2 Kg1 g4 Kh1 g3 Kg1 Be3+ Kh1 g2+ Kh2 g1=Q+ Kh3 Qg3#;
8/8/8/6p1/8/5k2/7p/4K3 b - - acn 21061; acs 0; bm Ke3 Ke4 h1=Q+; ce 32754; dm 7; pv h1=Q+ Kd2 Qa1 Kc2 Qa3 Kd2 Qb3 Kc1 Qa2 Kd1 Qb2 Ke1 Qc1#;
8/8/8/6p1/8/5k2/3K3p/8 b - - acn 44996; acs 0; bm h1=Q; ce 32754; dm 7; pv h1=Q Kc2 Ke3 Kc3 Qc6+ Kb3 Kd3 Ka3 Qb6 Ka4 Kc3 Ka3 Qb3#;
8/8/8/6p1/8/4kbK1/8/8 b - - acn 20402; acs 0; bm Ke2; ce 32754; dm 7; pv Ke2 Kh3 Kf2 Kh2 Bg4 Kh1 Bh3 Kh2 g4 Kh1 Bg2+ Kh2 g3#;
8/8/8/6p1/8/4kb2/8/5K2 b - - acn 93407; acs 0; bm g4; ce 32754; dm 7; pv g4 Kg1 g3 Kf1 g2+ Kg1 Ke2 Kh2 Kf2 Kh3 g1=Q Kh4 Qg3#;
8/8/8/6p1/8/4k3/5pK1/8 b - - acn 7492; acs 0; bm Ke2; ce 32754; dm 7; pv Ke2 Kg3 f1=Q Kg4 Qf6 Kg3 Qf4+ Kh3 Qe4 Kg3 Kf1 Kh3 Qg2#;
8/8/8/6p1/8/4k2P/5pK1/8 b - - acn 4192; acs 0; bm Ke2; ce 32754; dm 7; pv Ke2 Kg3 f1=Q Kg4 Qf6 h4 Ke3 h5 Qf4+ Kh3 Kf3 h6 Qg3#;
8/8/8/6p1/8/3n1k2/8/6K1 b - - acn 71683; acs 0; bm g4; ce 32754; dm 7; pv g4 Kh1 g3 Kg1 g2 Kh2 Nc1 Kg1 Ne2+ Kh2 g1=Q+ Kh3 Qg3#;
