8/qkqqb2p/4n2P/1NRRqNQK/1B2b3/1QQQnQQP/4p2Q/qnqrr2B w - - acn 162473668; acs 265; bm Rxd7; ce 32752; dm 8; pv Rxd7 Nf4+ Qfxf4 Qxd7 Qfxe4+ Qed5 Qc7+ Qxc7 Rxc7+ Kb6 Qgxe3+ Bc5 Bxc5+ Qxc5 Nxa7#;
1k1K4/1p5P/1P6/8/8/8/p7/8 w - - acn 28659; acs 0; bm h8=Q; ce 32752; dm 8; pv h8=Q a1=Q Qg8 Qa2 Qe8 Qa4 Qe5+ Ka8 Qh8 Qd4+ Qxd4 Kb8 Qg4 Ka8 Qc8#;
1bb2n2/r7/P1pr1P2/6R1/2nPNBP1/3p3p/5K2/7k w - - acn 1736740; acs 5; bm Ng3+; ce 32752; dm 8; pv Ng3+ Kh2 Nf5+ Kh1 Rh5 Rh7 Ng3+ Kh2 Ne4+ Kh1 Ra5 d2 Ra1+ d1=N+ Rxd1#;
1bKN1rk1/1ppn1r1R/4Pp1P/4p2p/2p2p1q/1PP3P1/PP2P3/1b6 b - - acn 52327040; acs 114; bm Qh1 Rxh7; ce 32752; dm 8; pv Rxh7 gxh4 Nc5 e7 Rxe7 h7+ Rxh7 b4 Rxd8+ Kxd8 Bf5 e3 Kf7 e4 Rh8#;
1bK1N2k/5pR1/n2p3p/2p2p2/1p5p/p7/8/Bb5r w - - acn 2312706; acs 6; bm Rg2+; ce 32752; dm 8; pv Rg2+ f6 Bxf6+ Kh7 Ba1 Ba2 Rg7+ Kh8 Rg1+ Kh7 Nf6+ Kh8 Nd7+ Kh7 Nf8#;
1b6/qrn3P1/1n3PPk/4P2B/3P1p1K/2P5/bP2r1p1/Q7 w - - acn 5732544; acs 11; bm b3; ce 32752; dm 8; pv b3 Bxb3 c4 Bxc4 d5 Bxd5 e6 Bxe6 g8=N+ Bxg8 f7 Re8 Qh8+ Bh7 Qxh7#;
1b6/pr5b/3p1pp1/3P1kp1/2PPN1p1/r2P2K1/1p2NPP1/1B6 w - - acn 1135410; acs 3; bm Nd2; ce 32752; dm 8; pv Nd2 Rbb3 Nf1 Rxd3+ Kh2 g3+ Kh3 g4+ Kh4 g5+ Kh5 Bg6+ Kh6 gxf2 Nfg3#;
1b6/k1p5/2P1K3/1B6/1B6/8/8/8 w - - acn 3154573; acs 7; bm Bc5+; ce 32752; dm 8; pv Bc5+ Ka8 Kd7 Ba7 Bxa7 Kxa7 Kxc7 Ka8 Kb6 Kb8 Ba6 Ka8 Bb7+ Kb8 c7#;
1b6/5p1Q/2P3P1/1P1P4/b3P3/3n1P2/6Pp/5KBk w - - acn 950675; acs 2; bm f4; ce 32752; dm 8; pv f4 Bxf4 g3 Bxg3 Bxh2 Bxh2 Qh3 Ne1 Kxe1 Bxb5 Kf2 Bf1 Qf3+ Bg2 Qxg2#;
1b6/3p1Bnp/1p1p3k/3p3p/3Pp2P/1N2Np2/K4R2/8 w - - acn 83143915; acs 193; bm Rc2; ce 32752; dm 8; pv Rc2 b5 Na1 b4 Rc1 b3+ Kxb3 f2 Nac2 Ba7 Ng4+ hxg4 Ne3 g3 Ng4#;
1b6/2p5/8/2K5/k7/8/1P6/1B6 w - - acn 71565; acs 0; bm Bc2+; ce 32752; dm 8; pv Bc2+ Ka5 b4+ Ka6 Kc6 Ka7 b5 Ka8 Be4 Ka7 Bf3 Ka8 b6 cxb6 Kxb6#;
1b6/2p5/8/2K2B2/k7/8/1P6/8 w - - acn 581139; acs 1; bm Bc2+; ce 32752; dm 8; pv Bc2+ Ka5 b4+ Ka6 Kc6 Ka7 b5 Ka8 Be4 Ka7 Bf3 Ka8 b6 cxb6 Kxb6#;
1b6/2p5/8/1p1pp1p1/6p1/3BB1K1/5N2/3Nk3 w - - acn 16402308; acs 38; bm Bc5; ce 32752; dm 8; pv Bc5 Kd2 Bb4+ Kc1 Be7 Kd2 Bxg5+ Ke1 Ne3 Kd2 Nxd5+ Ke1 Nb4 e4 Nc2#;
1b6/1r6/4P1N1/1P2Bp2/n1p2p2/6kP/3P2P1/3N3K w - - acn 3955973; acs 9; bm Bd4; ce 32752; dm 8; pv Bd4 Ba7 b6 Bxb6 Be5 Bc7 Bf6 Bd8 e7 Bxe7 Be5 Bd6 Bxd6 c3 Bxf4#;
1b6/1b6/1p1p1KBk/3rp3/2N1pp2/1N6/5Pp1/R5B1 w - - acn 9142409; acs 28; bm Ra8; ce 32752; dm 8; pv Ra8 Bxa8 Ne3 fxe3 f3 Rd3 Nd4 exd4 Bh2 d5 Bxb8 g1=Q Bf4+ Qg5+ Bxg5#;
1b5n/2p2pR1/2p4B/qr1pp3/1p6/p7/2B2p1N/1nK1kN2 w - - acn 1681082; acs 5; bm Nf3+; ce 32752; dm 8; pv Nf3+ Ke2 Nxe5 Ke1 Nf3+ Ke2 N3h2 Ke1 Rg8 d4 Nf3+ Ke2 Ng3+ Kxf3 Be4#;
1b5k/p4K2/n7/8/8/8/6p1/4R3 w - - acn 394720; acs 1; bm Re3; ce 32752; dm 8; pv Re3 g1=N Kg6 Nc7 Rb3 Na6 Rd3 Bc7 Re3 Be5 Rxe5 Nc7 Kf7 Ne2 Rh5#;
1b5k/7P/p1p2np1/2P2p2/PP3P2/4RQ1R/q2r3P/6K1 w - - acn 855085; acs 2; bm Re8+; ce 32752; dm 8; pv Re8+ Nxe8 Qc3+ Ng7 Qxg7+ Kxg7 h8=Q+ Kf7 Rh7+ Ke6 Qg8+ Kf6 Qf8+ Qf7 Qxf7#;
1b4n1/2rp2PN/b7/5p1p/1B5k/4PP1p/2N2P2/R6K w - - acn 5265678; acs 11; bm Ra4; ce 32752; dm 8; pv Ra4 Rc4 Ba5 Bd6 Bd8+ Be7 Nd4 Rc1+ Kh2 Rh1+ Kxh1 h2 Kxh2 f4 Nf5#;
1b4n1/2N1pn2/4p3/8/K2p1pQ1/2pp4/kpr1r1P1/qb3B2 w - - acn 10595273; acs 17; bm Na6; ce 32752; dm 8; pv Na6 Bd6 Qxe6+ Rxe6 Bxd3 Ne5 Be4 Nf6 Bf5 f3 Bxe6+ Nd5 Bxd5+ Nc4 Bxc4#;
1b4Rr/p4n1Q/3BpKN1/6p1/6q1/r7/4p1kP/5nNb b - - acn 26195537; acs 69; bm Qd4+ Rxh7; ce 32752; dm 8; pv Qd4+ Be5 Bxe5+ Ke7 Bf6+ Ke8 Rxh7 Nf4+ Qxf4 Rg7 Qd6 Rxg5+ Bxg5 h3 Qd8#;
1b3k1n/7P/3r2QK/4P2B/8/8/8/8 w - - acn 246449; acs 1; bm exd6; ce 32752; dm 8; pv exd6 Nxg6 Kxg6 Bxd6 h8=Q+ Ke7 Bg4 Be5 Qxe5+ Kd8 Qd6+ Ke8 Qe6+ Kf8 Qf7#;
1b3Q2/r6r/p2R4/4k1Nn/6K1/1Pp5/8/6n1 w - - acn 4043107; acs 12; bm Rc6; ce 32752; dm 8; pv Rc6 Kd4 Qc5+ Kd3 Qxc3+ Ke2 Qb2+ Ke3 Qc1+ Kd3 Rc3+ Kd4 Qe3+ Kd5 Qc5#;
1b3Nbk/1n4p1/4p3/3rp3/4Q1pr/3p2Kp/6n1/5R2 w - - acn 2410930; acs 6; bm Ng6+; ce 32752; dm 8; pv Ng6+ Kh7 Ne7+ Kh8 Rf8 Rd8 Rxg8+ Rxg8 Ng6+ Kh7 Nf8+ Kh8 Qh7+ Rxh7 Ng6#;
1b2r3/2B2n2/k2P2b1/3n2Pp/3P3P/2P1qBK1/2Q1p3/8 w - - acn 34829; acs 0; bm Qa2+; ce 32752; dm 8; pv Qa2+ Kb7 Qxd5+ Kc8 Qb7+ Kd7 Qc6+ Ke6 Qxe8+ Kf5 Qxe3 e1=Q+ Qxe1 Nd8 Qe5#;
1b2r3/1b1pp2Q/8/5Pp1/2P3P1/1K1P4/2PR4/6k1 w - - acn 15057655; acs 32; bm Qg7; ce 32752; dm 8; pv Qg7 e5 Qh6 e4 Qh3 e3 Rd1+ Kf2 Rf1+ Ke2 Rg1 d6 Qf1+ Kd2 Qd1#;
1b2RNb1/p4pK1/1n1p1N1p/1p1p1kp1/qr6/1r6/p1PPPPPQ/8 w - - acn 164807461; acs 439; bm Ng6; ce 32752; dm 8; pv Ng6 Nc8 d3 fxg6 Qh3+ g4 Qxh6 Ne7 Rxe7 Bf7 Kxf7 g3 Qxg6+ Kf4 fxg3#;
1b2R1q1/3N4/R3r3/N2k1p2/3P3Q/4p1P1/6K1/8 w - - acn 20741147; acs 49; bm Raxe6 Rd6+ Rexe6 Rxg8; ce 32752; dm 8; pv Rd6+ Kxd6 Rxg8 Re4 Qh6+ Re6 Qf4+ Kxd7 Qxb8 Re5 Qd8+ Ke6 Rf8 f4 Rf6#;
1b2R1K1/p4pRB/5k1P/4pPr1/3Pp2B/5P2/3q2b1/8 w - - acn 5737332; acs 16; bm Bg6; ce 32752; dm 8; pv Bg6 Qa2 d5 Qxd5 Bh7 Qd2 f4 Qxf4 Re6+ fxe6 Kf8 Bd6+ Ke8 exf5 Rg6#;
1b2K3/3p1p2/N1pkb2R/P2pp2P/1R4P1/6B1/Bn4p1/3n2r1 w - - acn 161352397; acs 430; bm Bh4; ce 32752; dm 8; pv Bh4 f6 Bxf6 e4 Bh4 Nc4 Bg3+ Ne5 Rb7 Bc7 Rxc7 c5 Rb7 e3 Rb6#;
1b1nB3/1b6/3r4/3p3N/3Pk1PK/7p/8/4N1B1 w - - acn 1148978; acs 3; bm Bb5; ce 32752; dm 8; pv Bb5 Ba6 Ba4 Rc6 Bd1 Be2 Bxe2 Rc3 Nf6+ Kf4 Nxd5+ Ke4 Nxc3+ Kf4 Nd3#;
1b1k1r2/5pN1/1P1p3P/rp1N1Bpp/3P4/R2p4/2P2PP1/5Kn1 w - - acn 3670779; acs 9; bm Nb4; ce 32752; dm 8; pv Nb4 Ke7 Nc6+ Kf6 g4 hxg4 Nb4 Ke7 Nd5+ Kd8 Rc3 Ra1+ Kg2 g3 Rc8#;
1b1B4/pPP5/p7/k7/1R6/6K1/2p3p1/7b w - - acn 563468; acs 2; bm cxb8=Q+; ce 32752; dm 8; pv cxb8=Q+ Kxb4 Qf4+ Kc5 Qe5+ Kc6 b8=N+ Kb7 Qc7+ Ka8 Qc6+ Kxb8 Qc7+ Ka8 Qc8#;
1RB1Nnr1/p7/K1k1p1p1/4pP1n/N1p1Pp2/1p1P2B1/b5r1/2b5 w - - acn 61055546; acs 152; bm Bh4; ce 32752; dm 8; pv Bh4 g5 Bxg5 R2xg5 Rb4 b2 Rb5 Be3 d4 Bxd4 Rd5 exd5 exd5+ Kxd5 Bb7#;
1R6/p7/k1K2p2/p5p1/p5p1/P5P1/8/8 w - - acn 728479; acs 1; bm Rg8; ce 32752; dm 8; pv Rg8 f5 Rxg5 f4 Rxg4 f3 Rxa4 f2 Rf4 f1=Q Rxf1 a4 Rf7 Ka5 Rxa7#;
1R6/k7/8/2K5/p7/8/8/8 w - - acn 336951; acs 1; bm Rb4; ce 32752; dm 8; pv Rb4 Ka6 Rxa4+ Kb7 Rd4 Kc7 Kb5 Kb7 Rc4 Ka7 Kc6 Ka8 Kc7 Ka7 Ra4#;
1R6/8/8/8/8/2Q3K1/qr6/1k6 w - - acn 2296190; acs 4; bm Qe1+; ce 32752; dm 8; pv Qe1+ Kc2 Rc8+ Kd3 Rc3+ Kd4 Qe3+ Kd5 Rc5+ Kd6 Qe5+ Kd7 Rc7+ Kd8 Qe7#;
1R6/8/3k4/8/8/8/6Bp/K5B1 w - - acn 10815771; acs 11; bm Bxh2+ Rb6+; ce 32752; dm 8; pv Bxh2+ Ke7 Bh3 Kf7 Be5 Kg6 Rg8+ Kf7 Rg7+ Kf8 Bg4 Ke8 Bd6 Kd8 Rg8#;
1R6/5pk1/6p1/8/p1nrbKP1/4p3/P7/7R b - - acn 7402939; acs 14; bm Bxh1+; ce 32752; dm 8; pv Bxh1+ Kg3 Nd2 g5 e2 Re8 Ne4+ Kh3 e1=Q Rg8+ Kxg8 Kh2 Qe2+ Kh3 Qh5#;
1R6/4p2p/4P1pr/p3P1kr/P6p/K3p2B/4P2P/B7 w - - acn 12804552; acs 31; bm Rc8; ce 32752; dm 8; pv Rc8 Kf4 Rc4+ Kg5 Bd4 Kf4 Bb2+ Kg5 Rc1 Kf4 Rf1+ Kg5 Rf2 exf2 Bc1#;
1R3r2/PPPPPPPP/1N5n/kpp5/4bp2/2n2p2/1Kpq4/6N1 w - - acn 31384; acs 0; bm a8=Q+; ce 32752; dm 8; pv a8=Q+ Kxb6 c8=N+ Kc7 Qa5+ Kc6 Qa6+ Kc7 Qb6+ Kxb8 Qa7+ Kc7 b8=Q+ Kc6 Qbb7#;
1R3K2/8/8/8/1Q1p4/5n2/q7/k7 w - - acn 2092704; acs 4; bm Qb6; ce 32752; dm 8; pv Qb6 Qa3+ Kg8 Qa2+ Kg7 Qg2+ Kf8 Qc2 Qa6+ Qa2 Qf1+ Ne1 Qxe1+ Qb1 Qxb1#;
1R2KB2/2p2p2/2k2pp1/1pNpp1R1/8/P6r/b1PP1P2/7n w - - acn 39560678; acs 87; bm a4; ce 32752; dm 8; pv a4 bxa4 Na6 Rh4 f4 Rxf4 Rg1 Nf2 Rg3 Nd3 Rxd3 g5 Rc3+ Rc4 Nb4#;
1R2KB2/2p2p2/2k2pp1/1pNpp1R1/8/P6r/b1PP1P1p/7n w - - acn 34917694; acs 81; bm a4; ce 32752; dm 8; pv a4 bxa4 Na6 Rh4 Rg2 g5 f4 Rxf4 d3 g4 c4 Rxc4 dxc4 g3 Nb4#;
1R1nN3/K1pP1nr1/B1k2Np1/3b4/P4P2/ppPpp1P1/2R5/6r1 w - - acn 254148459; acs 495; bm Rb5; ce 32752; dm 8; pv Rb5 Be4 Ra5 Bh1 Rh2 e2 Rhh5 g5 Rf5 Ne5 Bb5+ Kc5 Rxe5+ Bd5 Ne4#;
1Q6/8/2P5/5b2/2K5/4q3/5k2/8 b - - acn 6942455; acs 12; bm Be6+; ce 32752; dm 8; pv Be6+ Kb4 Qb3+ Kc5 Qxb8 c7 Qxc7+ Kb5 Qd6 Ka5 Qc5+ Ka4 Qb6 Ka3 Qb3#;
1Q6/3p4/2N5/1r1k4/8/8/8/4K3 w - - acn 8161026; acs 11; bm Qxb5+; ce 32752; dm 8; pv Qxb5+ Kd6 Nd4 Ke7 Qe5+ Kf7 Qd6 Kg7 Nf5+ Kf7 Kf1 Kg8 Qf6 d6 Qg7#;
1Q4k1/p1p2ppp/8/2b5/5P1B/3P3b/PPr1r2P/R1n4K b - - acn 24613678; acs 31; bm Bf8; ce 32752; dm 8; pv Bf8 Qa8 c6 Bg3 Red2 Qe8 Rd1+ Qe1 Bc5 d4 Bxd4 Bf2 Rxe1+ Bg1 Bg2#;
1Nk2K1R/1p1RpPpp/8/1n4r1/p2Br3/8/b3p3/3Bn3 w - - acn 7303021; acs 17; bm Kg8; ce 32752; dm 8; pv Kg8 Rh4 Bb3 Bxb3 Bb6 Nc7 Kf8 Re4 Bxc7 b6 Be5 Rexe5 Kg8 Bxf7+ Kxf7#;
1Nk2K1R/1p1RpPpp/8/1n4r1/p2Br3/8/b3p3/3Bn3 w - - acn 7278610; acs 20; bm Kg8; ce 32752; dm 8; pv Kg8 Rh4 Bb3 Bxb3 Bb6 Nc7 Kf8 Re4 Bxc7 b6 Be5 Rexe5 Kg8 Bxf7+ Kxf7#;
1Nbr4/pkBp4/1N1P4/K2p4/B2P4/8/8/8 w - - acn 3343033; acs 7; bm N6xd7 Nxc8; ce 32752; dm 8; pv Nxc8 Rg8 Ne7 Rg3 Nxd7 Ra3 Nc5+ Ka8 d7 Rxa4+ Nxa4 a6 d8=Q+ Ka7 Qb8#;
1Nbr4/pkBp4/1N1P4/K2p4/B2P4/8/8/8 w - - acn 3330893; acs 8; bm N6xd7 Nxc8; ce 32752; dm 8; pv Nxc8 Rg8 Ne7 Rg3 Nxd7 Ra3 Nc5+ Ka8 d7 Rxa4+ Nxa4 a6 d8=Q+ Ka7 Qb8#;
1N6/kBK1p3/4p1p1/4n1P1/3pPBP1/1p1P1nP1/1P1P4/6bN w - - acn 1892656; acs 4; bm Bc8; ce 32752; dm 8; pv Bc8 Bh2 Nf2 Bg1 Nd1 Bf2 Nxf2 Ka8 Bb7+ Ka7 Nd1 Nxd2 Nc3 dxc3 Be3#;
1N6/kBK1p3/4p1p1/4n1P1/3pPBP1/1p1P1nP1/1P1P4/6bN w - - acn 1888924; acs 5; bm Bc8; ce 32752; dm 8; pv Bc8 Bh2 Nf2 Bg1 Nd1 Bf2 Nxf2 Ka8 Bb7+ Ka7 Nd1 Nxd2 Nc3 dxc3 Be3#;
1N6/8/R7/8/5P1p/1pPB3P/1pr2P1K/nkb4Q w - - acn 57871557; acs 97; bm Qf3; ce 32752; dm 8; pv Qf3 Bxf4+ Kh1 Bg5 Qe2 Bf4 Nc6 Bg5 Qe1+ Bc1 Na5 Ka2 Nc4+ Kb1 Nd2#;
1N6/8/R7/8/5P1p/1pPB3P/1pr2P1K/nkb4Q w - - acn 56985694; acs 108; bm Qf3; ce 32752; dm 8; pv Qf3 Bxf4+ Kh1 Bg5 Qe2 Bf4 Nc6 Bg5 Qe1+ Bc1 Na5 Ka2 Nc4+ Kb1 Nd2#;
1N6/8/7N/5p2/8/7k/8/4B1K1 w - - acn 3115397; acs 5; bm Nd7; ce 32752; dm 8; pv Nd7 f4 Nf6 f3 Nf5 f2+ Kxf2 Kh2 Ng3 Kh3 Kg1 Kh4 Nge4+ Kh3 Ng5#;
1N6/8/7N/5p2/8/7k/8/4B1K1 w - - acn 3067333; acs 5; bm Nd7; ce 32752; dm 8; pv Nd7 f4 Nf6 f3 Nf5 f2+ Kxf2 Kh2 Ng3 Kh3 Kg1 Kh4 Nge4+ Kh3 Ng5#;
1N6/4p3/8/4R3/6P1/2PR1p1p/PKP1nppP/4kbn1 w - - acn 19962238; acs 42; bm Na6 Nc6 c4; ce 32752; dm 8; pv c4 e6 Ree3 e5 c3 e4 Na6 exd3 Nb4 d2 Nd3+ Kd1 g5 Nxc3 Nxf2#;
1N6/4p3/8/4R3/6P1/2PR1p1p/PKP1nppP/4kbn1 w - - acn 19790953; acs 48; bm Na6 Nc6 c4; ce 32752; dm 8; pv c4 e6 Ree3 e5 c3 e4 Na6 exd3 Nb4 d2 Nd3+ Kd1 g5 Nxc3 Nxf2#;
1N6/2B5/1Pp1p1B1/Kp1pp1P1/1pr2k2/b1rpp1R1/2n4P/7b w - - acn 5402554; acs 16; bm Nd7; ce 32752; dm 8; pv Nd7 Re4 Nf8 Nd4 Bh7 Nb3+ Ka6 Nc5+ Ka7 e2 Ng6+ Kf5 Nxe5+ Kf4 Nxd3#;
1N6/2B5/1Pp1p1B1/Kp1pp1P1/1pr2k2/b1rpp1R1/2n4P/7b w - - acn 5390053; acs 17; bm Nd7; ce 32752; dm 8; pv Nd7 Re4 Nf8 Nd4 Bh7 Nb3+ Ka6 Nc5+ Ka7 e2 Ng6+ Kf5 Nxe5+ Kf4 Nxd3#;
1N3N2/pP2pP1R/B2p1P2/3k1r1q/P2Bp2r/4Pp2/b7/2K4n w - - acn 2463234; acs 6; bm Ne6; ce 32752; dm 8; pv Ne6 Kxe6 f8=N+ Kd5 Ne6 Kxe6 Rxe7+ Kd5 Nc6 Kxc6 b8=N+ Kd5 Nc6 f2 Nb4#;
1N3N2/pP2pP1R/B2p1P2/3k1r1q/P2Bp2r/4Pp2/b7/2K4n w - - acn 2462469; acs 6; bm Ne6; ce 32752; dm 8; pv Ne6 Kxe6 f8=N+ Kd5 Ne6 Kxe6 Rxe7+ Kd5 Nc6 Kxc6 b8=N+ Kd5 Nc6 f2 Nb4#;
1N2bq2/1P2p3/p3Pp1b/pRKB2p1/3B1kP1/pN1R3P/P6P/n4r2 w - - acn 87146020; acs 195; bm Nc1; ce 32752; dm 8; pv Nc1 Rxc1+ Kb6 Rf1 Rb1 Rxb1+ Ka7 Rxb7+ Bxb7 Bc6 Bxc6 Qxb8+ Kxb8 f5 Rf3#;
1N2bq2/1P2p3/p3Pp1b/pRKB2p1/3B1kP1/pN1R3P/P6P/n4r2 w - - acn 86611052; acs 213; bm Nc1; ce 32752; dm 8; pv Nc1 Rxc1+ Kb6 Rf1 Rb1 Rxb1+ Ka7 Rxb7+ Bxb7 Bc6 Bxc6 Qxb8+ Kxb8 f5 Rf3#;
1K6/pp6/qrkBB3/pbP2P2/p1p5/P1P2P2/4P3/8 w - - acn 257943; acs 1; bm Bc8; ce 32752; dm 8; pv Bc8 Kd5 e4+ Kc6 e5 Kd5 Be6+ Kc6 Bf7 Kd7 e6+ Kd8 e7+ Kd7 e8=Q#;
1K6/pp6/qrkBB3/pbP2P2/p1p5/P1P2P2/4P3/8 w - - acn 257886; acs 1; bm Bc8; ce 32752; dm 8; pv Bc8 Kd5 e4+ Kc6 e5 Kd5 Be6+ Kc6 Bf7 Kd7 e6+ Kd8 e7+ Kd7 e8=Q#;
1K6/Qp5p/6p1/8/2r1p1pN/6pP/6p1/6Bk w - - acn 9901294; acs 17; bm Qa1; ce 32752; dm 8; pv Qa1 Ra4 Qb1 Rb4 Qc1 Rc4 Qd1 Rc8+ Kxc8 h6 hxg4 h5 Qd2 hxg4 Qxg2#;
1K6/Qp5p/6p1/8/2r1p1pN/6pP/6p1/6Bk w - - acn 9883870; acs 18; bm Qa1; ce 32752; dm 8; pv Qa1 Ra4 Qb1 Rb4 Qc1 Rc4 Qd1 Rc8+ Kxc8 h6 hxg4 h5 Qd2 hxg4 Qxg2#;
1K6/N5B1/3Q4/8/8/8/1p6/kq6 w - - acn 4594418; acs 9; bm Nb5; ce 32752; dm 8; pv Nb5 Qc1 Qa3+ Kb1 Nc3+ Kc2 Qa4+ Kd2 Qd4+ Ke1 Qg1+ Kd2 Qf2+ Kd3 Qe2#;
1K6/N5B1/3Q4/8/8/8/1p6/kq6 w - - acn 4584289; acs 11; bm Nb5; ce 32752; dm 8; pv Nb5 Qc1 Qa3+ Kb1 Nc3+ Kc2 Qa4+ Kd2 Qd4+ Ke1 Qg1+ Kd2 Qf2+ Kd3 Qe2#;
1K6/8/8/8/Qp6/8/1pp5/1kb4R w - - acn 11772124; acs 23; bm Qa8; ce 32752; dm 8; pv Qa8 b3 Ka7 Ka1 Kb6+ Kb1 Ka5 Ka1 Kb4+ Kb1 Ka3 Ka1 Kxb3+ Kb1 Qa2#;
1K6/8/8/8/Qp6/8/1pp5/1kb4R w - - acn 11742933; acs 26; bm Qa8; ce 32752; dm 8; pv Qa8 b3 Ka7 Ka1 Kb6+ Kb1 Ka5 Ka1 Kb4+ Kb1 Ka3 Ka1 Kxb3+ Kb1 Qa2#;
1K6/7p/8/3P3P/5P2/4BPN1/2PRPr1p/4N1kr w - - acn 10245456; acs 23; bm Ba7; ce 32752; dm 8; pv Ba7 h6 Rd4 Rg2 Rb4+ Rf2 e3 Rg2 e4+ Rf2 Rd4 Rg2 Rd2+ Rf2 Bxf2#;
1K6/7p/8/3P3P/5P2/4BPN1/2PRPr1p/4N1kr w - - acn 10218167; acs 24; bm Ba7; ce 32752; dm 8; pv Ba7 h6 Rd4 Rg2 Rb4+ Rf2 e3 Rg2 e4+ Rf2 Rd4 Rg2 Rd2+ Rf2 Bxf2#;
1K6/1R6/1p6/1k6/1P6/1B6/8/8 w - - acn 6111249; acs 10; bm Rxb6+; ce 32752; dm 8; pv Rxb6+ Kxb6 Ba4 Ka6 Kc7 Ka7 Bb5 Ka8 Ba6 Ka7 b5 Ka8 Bb7+ Ka7 b6#;
1K6/1R6/1p6/1k6/1P6/1B6/8/8 w - - acn 6077203; acs 10; bm Rxb6+; ce 32752; dm 8; pv Rxb6+ Kxb6 Ba4 Ka6 Kc7 Ka7 Bb5 Ka8 Ba6 Ka7 b5 Ka8 Bb7+ Ka7 b6#;
1K3b2/1R2p1r1/k4p2/1p6/1B6/1p3B2/1r4p1/1n1N3b w - - acn 3017418; acs 8; bm Ra7+; ce 32752; dm 8; pv Ra7+ Kb6 Rc7 Rc2 Nc3 Rxc3 Rb7+ Ka6 Ra7+ Kb6 Bb7 Rc8+ Kxc8 g1=Q Ra6#;
1K2k3/8/R7/8/8/8/8/8 w - - acn 14116; acs 0; bm Kc7 Ra7; ce 32752; dm 8; pv Ra7 Kf8 Rb7 Kg8 Kc8 Kh8 Kd8 Kg8 Ke8 Kh8 Kf7 Kh7 Rb6 Kh8 Rh6#;
1K2k3/8/8/P4pp1/3R1Pp1/8/8/8 w - - acn 923193; acs 2; bm a6; ce 32752; dm 8; pv a6 Kf7 a7 Kg6 Rd6+ Kh5 a8=Q Kh4 Qg2 g3 Qe2 g2 Qxg2 g4 Qh2#;
1K2k3/8/1R6/8/8/8/8/8 w - - acn 251896; acs 0; bm Kc7 Rb7; ce 32752; dm 8; pv Rb7 Kf8 Rc7 Kg8 Kc8 Kh8 Kd8 Kg8 Ke8 Kh8 Kf7 Kh7 Rc6 Kh8 Rh6#;
1K2N1qk/2Np2r1/P5Pp/3P4/1P2P3/p7/6p1/Q5Rb w - - acn 34213841; acs 68; bm Qf6; ce 32752; dm 8; pv Qf6 a2 a7 a1=Q Rxa1 h5 a8=Q h4 Rg1 h3 Qa3 Qxe8+ Nxe8 h2 Qxg7#;
1K2B3/8/k7/Pn6/1P6/8/8/8 w - - acn 227329; acs 0; bm Bg6; ce 32752; dm 8; pv Bg6 Na7 Bd3+ Nb5 Kc8 Ka7 Bxb5 Ka8 Ba6 Ka7 b5 Ka8 Bb7+ Ka7 b6#;
1K1krb2/PB2p1p1/1r2p1P1/B3P3/3Pp3/p3P3/P1n2P2/QR6 w - - acn 176530; acs 0; bm a8=B a8=N a8=Q a8=R; ce 32752; dm 8; pv a8=Q Kd7+ Ka7 Rxa8+ Bxa8 Nb4 Bxb6 Nc6+ Bxc6+ Kxc6 Rc1+ Kd7 Qb1 Ke8 Qb5#;
1K1k1B2/8/4B3/8/8/8/8/8 w - - acn 1233587; acs 2; bm Bf7; ce 32752; dm 8; pv Bf7 Kd7 Kb7 Kd8 Kc6 Kc8 Be7 Kb8 Kb6 Kc8 Be6+ Kb8 Bd6+ Ka8 Bd5#;
1K1Q4/7r/7P/1k6/8/8/8/8 w - - acn 940603; acs 1; bm Qd3+; ce 32752; dm 8; pv Qd3+ Kc5 Qxh7 Kc4 Qf7+ Kd4 h7 Ke4 Qc4+ Ke5 h8=Q+ Kf5 Qh5+ Kf6 Qcf7#;
1K1Q1q2/2pN1p2/1P1b1P2/1Rn2p2/1prrkn2/1R2p3/2ppp3/B7 b - - acn 17627543; acs 51; bm Qxd8+; ce 32752; dm 8; pv Qxd8+ Ka7 e1=Q Nxc5+ Rxc5 Bxd4 d1=Q Rxe3+ Qxe3 bxc7 Qa3+ Ra5 Qxa5+ Kb7 Rxc7#;
1K1B4/1N5n/3pB2b/1b1NkP2/6P1/n1P2Pp1/1p4P1/8 w - - acn 17568915; acs 50; bm Bb6; ce 32752; dm 8; pv Bb6 Nc2 Bc7 Bf8 Nc5 Bh6 g5 Bxg5 Ne4 Be7 Nxe7 Kf4 Nd5+ Ke5 Bxd6#;
1Brb1rbN/1P1pkp1P/1q1qpq1q/1N1QbQ1B/1Qn1n1nQ/2Q3Q1/3R1R2/4K3 w - - acn 787282472; acs 2011; bm Bxd6+ Nxd6 Qfxe6+ Qhxf6+; ce 32752; dm 8; pv Bxd6+ Ke8 hxg8=Q Ng5 Bxf7+ Qxf7 Qfxf7+ Nxf7 Bxf8 Qhe3+ Qcxe3 Qxe3+ Qxe3 exd5 Qxf7#;
