rrb5/BRpp1p2/K1k1n2R/Pn1p1p2/BQ1p1P2/3P4/8/8 w - - acn 3; acs 0; bm Bxb5# Qc5#; ce 32766; dm 1; pv Bxb5#;
q7/r2pR3/8/1PPk1p1p/pKR2Q1r/P1P4p/3ppp2/4b3 w - - acn 7; acs 0; bm Qd6# Qe5# Qxf5# Rd4# Re5#; ce 32766; dm 1; pv Re5#;
q7/r2p3K/2B3PQ/2R3p1/6k1/8/r1R1P3/1b4NN w - - acn 2; acs 0; bm Qxg5#; ce 32766; dm 1; pv Qxg5#;
q7/r2R2K1/p2r4/2Nbk3/5b2/2P2n2/5P2/8 b - - acn 1; acs 0; bm Qg8#; ce 32766; dm 1; pv Qg8#;
q7/qb2p3/p1B1P2n/r1QK1pBQ/r2p2n1/b2P1kP1/1pN1p1RR/1N6 w - - acn 2; acs 0; bm Nd2# Ne1#; ce 32766; dm 1; pv Ne1#;
q7/qb2p3/p1B1P2n/r1QK1pBQ/r2p2n1/b2P1kP1/1pN1p1RR/1N6 b - - acn 4; acs 0; bm Bxc6# Qd8# Qxc5# Rxc5#; ce 32766; dm 1; pv Bxc6#;
q7/pr6/3pN3/B1pN1P2/n1P1Kp1r/2p2p1p/n1Rbk3/1b4QR w - - acn 5; acs 0; bm Qe1# Qf1#; ce 32766; dm 1; pv Qe1#;
q7/pr6/3pN3/B1pN1P2/n1P1Kp1r/2p2p1p/n1Rbk3/1b4QR b - - acn 1; acs 0; bm Bxc2#; ce 32766; dm 1; pv Bxc2#;
q7/pr1N2p1/2n4b/5Bp1/5NR1/1p3kp1/3Q2p1/6K1 w - - acn 3; acs 0; bm Qc3# Qd3# Qe2#; ce 32766; dm 1; pv Qd3#;
q7/ppn3r1/3R2p1/6p1/4k1P1/4P1K1/3P4/Q2p4 w - - acn 2; acs 0; bm Qd4#; ce 32766; dm 1; pv Qd4#;
q7/ppBPP1p1/1p1KR3/3Q1ppb/5kr1/2N4P/4PP1b/4N1n1 w - - acn 6; acs 0; bm Nd3# Qc4# Qd2# Qd4# Qe5# e3#; ce 32766; dm 1; pv e3#;
q7/pp6/Bn1b3p/P1p3pP/6Q1/2PPk3/3Rp3/4K3 w - - acn 2; acs 0; bm Qe4# Rxe2#; ce 32766; dm 1; pv Rxe2#;
q7/pp5b/4k3/4B3/1r2p2p/2p1K2n/8/b4r2 b - - acn 1; acs 0; bm Re1#; ce 32766; dm 1; pv Re1#;
q7/pp4pK/4n1pb/1NNpkb2/4r1n1/8/8/7r b - - acn 9; acs 0; bm Bc1# Bd2# Be3# Bf4# Bg5# Nf6# Ng5# g5#; ce 32766; dm 1; pv g5#;
q7/pp1R1b2/N2bB3/6Q1/4p3/R1PkP3/2pP4/2K3N1 w - - acn 6; acs 0; bm Nb4# Nc5# Qb5# Qd5# Rxd6# c4#; ce 32766; dm 1; pv c4#;
q7/pn3p2/r1p4R/Np1k1B2/5BP1/2p1Q3/P1PPP2p/1K4br w - - acn 2; acs 0; bm Be4# Qe5#; ce 32766; dm 1; pv Be4#;
q7/pn3p2/r1p4R/Np1k1B2/5BP1/2p1Q3/P1PPP2p/1K4br b - - acn 2; acs 0; bm Bf2# Bxe3#; ce 32766; dm 1; pv Bf2#;
q7/pkp5/2p5/p1Kp4/P2P4/3Q4/2B5/8 b - - acn 1; acs 0; bm Qf8#; ce 32766; dm 1; pv Qf8#;
q7/pb6/p1n3pb/pk2P3/N3QpP1/1n1P1K1p/2N1BP2/RR6 w - - acn 4; acs 0; bm Na3# Qc4# Qd5# d4#; ce 32766; dm 1; pv d4#;
q7/pb6/p1n3pb/pk2P3/N3QpP1/1n1P1K1p/2N1BP2/RR6 b - - acn 1; acs 0; bm Nxe5#; ce 32766; dm 1; pv Nxe5#;
q7/pPpkP3/p1p5/P1P4B/P7/RK2P3/2r1p3/3bR3 b - - acn 1; acs 0; bm Qxb7#; ce 32766; dm 1; pv Qxb7#;
q7/p7/P1p5/Kpk5/Pp1R4/4P3/7Q/3b4 w - - acn 2; acs 0; bm Qd6# Qe5#; ce 32766; dm 1; pv Qe5#;
q7/p7/8/BR4Q1/R1bk4/7N/1p3PPN/1B1K4 w - - acn 6; acs 0; bm Qc5# Qd2# Qe3# Qe5# Qf6# Qg7#; ce 32766; dm 1; pv Qd2#;
q7/p7/8/3p4/R3p3/3k4/Q1pBN1N1/2K2B2 w - - acn 12; acs 0; bm Nc3# Nd4# Ne1# Nef4# Ng1# Ng3# Ngf4# Qa3# Qb3# Qxc2# Ra3# Rd4#; ce 32766; dm 1; pv Ne1#;
q7/p6r/7r/3p4/3Q4/6P1/4k1KR/2B3R1 w - - acn 3; acs 0; bm Qd1# Qd2# Qe3#; ce 32766; dm 1; pv Qd2#;
q7/p6r/7r/3p4/3Q4/6P1/4k1KR/2B3R1 b - - acn 1; acs 0; bm Rxh2#; ce 32766; dm 1; pv Rxh2#;
q7/p6p/P4p2/4Nb2/p3PBPk/2PPQ3/1rR4P/4KB1R w - - acn 4; acs 0; bm Bg3# Qf2# Qg3# Qh3#; ce 32766; dm 1; pv Bg3#;
q7/p4p1B/2r3n1/3r4/1Q3pPp/NN1k1K1P/1P3Pn1/7b w - - acn 2; acs 0; bm Qd2# Qe4#; ce 32766; dm 1; pv Qd2#;
q7/p4p1B/2r3n1/3r4/1Q3pPp/NN1k1K1P/1P3Pn1/7b b - - acn 2; acs 0; bm Ne1# Ne3#; ce 32766; dm 1; pv Ne3#;
q7/p3r2k/1p3p1P/n4P2/P1R5/4n3/q7/1BK5 b - - acn 2; acs 0; bm Nb3# Qh1#; ce 32766; dm 1; pv Nb3#;
q7/p3n3/K7/P1bN4/2rk4/3b4/3P4/8 b - - acn 6; acs 0; bm Ra4# Rb4# Rc1# Rc2# Rc3#; ce 32766; dm 1; pv Rb4#;
q7/p3Q3/5B2/5Bp1/r1R1pkPp/2R1N2P/6pK/b5Nb w - - acn 6; acs 0; bm Be5# Bxg5# Qc7# Qd6# Qe5#; ce 32766; dm 1; pv Bxg5#;
q7/p3Q3/5B2/5Bp1/2r1pkPp/2R1N2P/6pK/b5Nb w - - acn 5; acs 0; bm Be5# Bxg5# Qd6# Qe5#; ce 32766; dm 1; pv Bxg5#;
q7/p2p4/R2p3p/p1k2p2/1N1npK1p/PP2n3/5B2/2r2rb1 b - - acn 1; acs 0; bm Ng2#; ce 32766; dm 1; pv Ng2#;
q7/p2p4/2RPkb2/3r4/4Kpp1/1r6/2R5/1b6 b - - acn 1; acs 0; bm Rd4#; ce 32766; dm 1; pv Rd4#;
q7/p2k4/4r1p1/5rb1/1N5p/4q2P/7K/8 b - - acn 4; acs 0; bm Bf4# Qf2# Qg3#; ce 32766; dm 1; pv Bf4#;
q7/p1b5/B7/6R1/2PkPN2/P5P1/2PKQ2p/3R3n w - - acn 4; acs 0; bm Ne6# Qd3# Qe3# c3#; ce 32766; dm 1; pv c3#;
q7/p1P2Q2/5n2/2p2k1P/4pP1R/2N1K1p1/3P2p1/1B3Nn1 w - - acn 5; acs 0; bm Nxg3#; ce 32766; dm 1; pv Nxg3#;
q7/p1P2Q2/5n2/2p2k1P/4pP1R/2N1K1p1/3P2p1/1B3Nn1 b - - acn 1; acs 0; bm gxf1=N#; ce 32766; dm 1; pv gxf1=N#;
q7/p1BR4/Knk3N1/P7/p1r1p3/P3P3/8/8 b - - acn 1; acs 0; bm Qb7#; ce 32766; dm 1; pv Qb7#;
q7/p1B1N3/P1p2R2/Kpp5/2bk4/N1np4/1Q1bRP2/7B w - - acn 4; acs 0; bm Be5# Nf5# Re4#; ce 32766; dm 1; pv Nf5#;
q7/np6/nK4Rr/PR6/Q6p/4k2P/8/1r4b1 b - - acn 7; acs 0; bm Nc8# Rxg6#; ce 32766; dm 1; pv Nc8#;
q7/np3PBB/1PpR1P1N/1PK1k2p/1p1p1r1r/6Qp/3PPN2/8 w - - acn 2; acs 0; bm Nd3#; ce 32766; dm 1; pv Nd3#;
q7/nb4B1/p2PkN1p/bBP2p1Q/2PPpK2/4P1P1/8/8 w - - acn 2; acs 0; bm Bd7#; ce 32766; dm 1; pv Bd7#;
q7/n3nb2/Ppk1B1Nr/2p5/P4Bp1/7p/4RK2/R2r4 w - - acn 2; acs 0; bm Nxe7#; ce 32766; dm 1; pv Nxe7#;
q7/n3B1p1/1pnp4/1Pkr1Pp1/4K1p1/P2BP1N1/1Qp3r1/7b w - - acn 1; acs 0; bm Qc3#; ce 32766; dm 1; pv Qc3#;
q7/n3B1p1/1pnp4/1Pkr1Pp1/4K1p1/P2BP1N1/1Qp3r1/7b b - - acn 6; acs 0; bm Rxg3#; ce 32766; dm 1; pv Rxg3#;
q7/kr1P4/8/8/8/6p1/8/7K b - - acn 1; acs 0; bm Rb1#; ce 32766; dm 1; pv Rb1#;
q7/kn6/8/1P1n3p/7P/5PKP/5PRB/6rr b - - acn 2; acs 0; bm Qg8#; ce 32766; dm 1; pv Qg8#;
q7/k7/1n1p4/p2N1pp1/1Q6/8/r7/1n2K3 w - - acn 1; acs 0; bm Qxb6#; ce 32766; dm 1; pv Qxb6#;
q7/k3n3/3N3K/1q4P1/5P2/8/8/8 b - - acn 1; acs 0; bm Qh8#; ce 32766; dm 1; pv Qh8#;
q7/k1Kp4/b6P/1P6/8/8/8/8 w - - acn 1; acs 0; bm b6#; ce 32766; dm 1; pv b6#;
q7/k1K5/p3P1P1/pbRp1n1P/2p4r/P1PP1PB1/1Pn4b/6Q1 b - - acn 1; acs 0; bm Qb8#; ce 32766; dm 1; pv Qb8#;
q7/brB5/B1N5/nrpR4/Kpk2N2/1np5/Q3p3/3b4 w - - acn 2; acs 0; bm Ne5# Nxa5#; ce 32766; dm 1; pv Nxa5#;
q7/b7/K7/N7/k7/B7/8/Q7 w - - acn 4; acs 0; bm Bc5# Bd6# Be7# Bf8#; ce 32766; dm 1; pv Bc5#;
q7/b7/K7/N7/k7/B7/8/Q7 b - - acn 5; acs 0; bm Bc5# Bd4# Be3# Bf2# Bg1#; ce 32766; dm 1; pv Bc5#;
q7/b7/4k2r/1n1N4/1R1p4/8/5p1B/7K b - - acn 2; acs 0; bm Qxd5# f1=Q#; ce 32766; dm 1; pv f1=Q#;
q7/b6B/r5R1/2Bp4/Q2p4/1P1k1P2/1P2RP2/5K2 w - - acn 17; acs 0; bm Qb5# Qxa6# Qxd4# Rb6# Rc6# Rd6# Rf6# Rge6# Rxa6#; ce 32766; dm 1; pv Rf6#;
q7/b1K1Q3/3r1p2/4n3/5ppp/R3nbk1/r7/5B2 b - - acn 4; acs 0; bm Qb8# Qc6# Rc6#; ce 32766; dm 1; pv Rc6#;
q7/Q7/8/K1k5/8/8/8/8 b - - acn 1; acs 0; bm Qxa7#; ce 32766; dm 1; pv Qxa7#;
q7/Pp1p4/8/1B1N4/1P3p2/pkB5/p2Q2R1/K7 w - - acn 3; acs 0; bm Qc2# Qd1# Qxa2#; ce 32766; dm 1; pv Qxa2#;
q7/P3P1NP/1P6/1pR5/pR6/K2PN3/Pp2Q3/rk6 w - - acn 6; acs 0; bm Qc2# Qd1# Qe1# Qf1# Qxb2# Rxb2#; ce 32766; dm 1; pv Rxb2#;
q7/P3P1NP/1P6/1pR5/pR6/K2PN3/Pp2Q3/rk6 b - - acn 1; acs 0; bm Rxa2#; ce 32766; dm 1; pv Rxa2#;
q7/P2N1p2/2p2P2/K1R2p2/1n1BkNn1/5p2/p1p2P2/4b3 b - - acn 2; acs 0; bm Qxa7#; ce 32766; dm 1; pv Qxa7#;
q7/P1n4p/2pnp2k/b1P1QpR1/5PbP/1P3p2/2P5/2R3K1 w - - acn 2; acs 0; bm Qf6# Qg7#; ce 32766; dm 1; pv Qf6#;
q7/P1Rn1pp1/1p3p2/Nr1Q1Kp1/1r1p2P1/3k4/p6R/1b1N4 w - - acn 2; acs 0; bm Rc3#; ce 32766; dm 1; pv Rc3#;
q7/P1Rn1pp1/1p3p2/Nr1Q1Kp1/1r1p2P1/3k4/p6R/1b1N4 b - - acn 3; acs 0; bm Qxd5# Rxd5# g6#; ce 32766; dm 1; pv g6#;
q7/N4k2/8/8/K3p3/8/1r6/8 b - - acn 1; acs 0; bm Qxa7#; ce 32766; dm 1; pv Qxa7#;
q7/B4kp1/4p2p/6pP/1P6/K1PR4/8/1r6 b - - acn 1; acs 0; bm Qxa7#; ce 32766; dm 1; pv Qxa7#;
q7/B1N5/3P4/k2N1P1R/n3pp2/Q1p1p3/1Rb1K1n1/1r4r1 w - - acn 5; acs 0; bm Bb6# Qb4#; ce 32766; dm 1; pv Bb6#;
q7/B1N5/3P4/k2N1P1R/n3pp2/Q1p1p3/1Rb1K1n1/1r4r1 b - - acn 5; acs 0; bm Bd1# Bd3# Rbe1# Rge1# f3#; ce 32766; dm 1; pv f3#;
q7/8/r1p5/bp1pN3/1p1Q1Np1/2P5/4ppp1/KR1nkb2 b - - acn 3; acs 0; bm Bb6# Bc7# Bd8#; ce 32766; dm 1; pv Bb6#;
q7/8/p1r5/Bp6/1K5p/P3N2r/b2PBb1p/2N1k3 b - - acn 1; acs 0; bm Qf8#; ce 32766; dm 1; pv Qf8#;
q7/8/p1b5/2p5/1npp4/nk4pp/p5Rp/r4B1K b - - acn 3; acs 0; bm Bxg2# Rxf1# hxg2#; ce 32766; dm 1; pv hxg2#;
q7/8/Bp2p1n1/pr5r/2k1b1R1/pp4K1/3p1P2/3nb3 b - - acn 1; acs 0; bm Bxf2#; ce 32766; dm 1; pv Bxf2#;
q7/8/B7/6P1/K7/4k3/8/1r6 b - - acn 1; acs 0; bm Qxa6#; ce 32766; dm 1; pv Qxa6#;
q7/8/8/pP5Q/P7/R3p1k1/6Rn/6K1 b - - acn 1; acs 0; bm Qxg2#; ce 32766; dm 1; pv Qxg2#;
q7/8/8/bp6/Q7/n4k2/r3b3/2K5 b - - acn 1; acs 0; bm Bd2#; ce 32766; dm 1; pv Bd2#;
q7/8/8/P1p1Pk1p/6rB/8/7K/2B5 b - - acn 1; acs 0; bm Qg2#; ce 32766; dm 1; pv Qg2#;
q7/8/8/8/p7/P2k4/8/3K4 b - - acn 1; acs 0; bm Qh1#; ce 32766; dm 1; pv Qh1#;
q7/8/8/8/k1K5/8/4R3/8 w - - acn 1; acs 0; bm Ra2#; ce 32766; dm 1; pv Ra2#;
q7/8/8/8/8/8/4rPPK/5k2 b - - acn 1; acs 0; bm Qxg2#; ce 32766; dm 1; pv Qxg2#;
q7/8/8/8/8/4B2k/8/6K1 b - - acn 1; acs 0; bm Qg2#; ce 32766; dm 1; pv Qg2#;
q7/8/8/8/8/2k5/R7/K7 b - - acn 1; acs 0; bm Qh1#; ce 32766; dm 1; pv Qh1#;
q7/8/8/8/6nk/8/1p2R3/5K2 b - - acn 3; acs 0; bm Qh1#; ce 32766; dm 1; pv Qh1#;
q7/8/8/8/5b2/1k3q2/8/6K1 b - - acn 4; acs 0; bm Qa1# Qa7# Qg2# Qg8#; ce 32766; dm 1; pv Qg2#;
q7/8/8/8/3k4/1n6/2B3n1/3K4 b - - acn 1; acs 0; bm Qf3#; ce 32766; dm 1; pv Qf3#;
q7/8/8/8/2kN4/8/2K5/1r6 b - - acn 1; acs 0; bm Qa2#; ce 32766; dm 1; pv Qa2#;
q7/8/8/8/2k3n1/2pnbNpp/2p4p/2r2B1K b - - acn 4; acs 0; bm Ngf2# Qxf3# Rxf1# g2#; ce 32766; dm 1; pv g2#;
q7/8/8/7Q/8/p6B/R7/K6k w - - acn 1; acs 0; bm Qd1#; ce 32766; dm 1; pv Qd1#;
q7/8/8/7Q/8/7B/R7/K6k w - - acn 1; acs 0; bm Qd1#; ce 32766; dm 1; pv Qd1#;
q7/8/8/6p1/8/N6K/8/5k2 b - - acn 1; acs 0; bm Qg2#; ce 32766; dm 1; pv Qg2#;
q7/8/8/6R1/6B1/4P1k1/8/4KQ2 w - - acn 3; acs 0; bm Qf2# Qh3#; ce 32766; dm 1; pv Qf2#;
q7/8/8/2r5/1K6/8/k7/8 b - - acn 2; acs 0; bm Qa3# Qa5#; ce 32766; dm 1; pv Qa3#;
q7/8/8/2nb3N/6B1/3N2p1/2Q2pr1/r4k1K w - - acn 2; acs 0; bm Be2# Qe2#; ce 32766; dm 1; pv Be2#;
q7/8/8/2nb3N/6B1/3N2p1/2Q2pr1/r4k1K b - - acn 2; acs 0; bm Rg1# Rh2#; ce 32766; dm 1; pv Rh2#;
q7/8/8/1Nr2k2/8/7p/7K/8 b - - acn 1; acs 0; bm Qg2#; ce 32766; dm 1; pv Qg2#;
q7/8/8/1N3k1K/6R1/8/8/4Q3 b - - acn 1; acs 0; bm Qh8#; ce 32766; dm 1; pv Qh8#;
q7/8/7k/8/7P/3pp3/1p6/4K3 b - - acn 4; acs 0; bm Qa1# Qh1# b1=Q# b1=R#; ce 32766; dm 1; pv b1=Q#;
q7/8/7k/6n1/1p3K2/7B/6r1/8 b - - acn 1; acs 0; bm Qe4#; ce 32766; dm 1; pv Qe4#;
q7/8/7K/N4k2/8/8/8/8 b - - acn 1; acs 0; bm Qh8#; ce 32766; dm 1; pv Qh8#;
q7/8/7K/5k2/8/8/3R4/8 b - - acn 1; acs 0; bm Qh8#; ce 32766; dm 1; pv Qh8#;
q7/8/6kp/1nR4n/p5r1/7K/8/8 b - - acn 1; acs 0; bm Qg2#; ce 32766; dm 1; pv Qg2#;
q7/8/6k1/8/p6P/7p/4PP2/5K2 b - - acn 1; acs 0; bm Qh1#; ce 32766; dm 1; pv Qh1#;
q7/8/6k1/3b4/8/8/1K1b1Pr1/8 b - - acn 1; acs 0; bm Qa2#; ce 32766; dm 1; pv Qa2#;
q7/8/5p2/5k2/3KnP2/3prP2/r2P4/1b3n2 b - - acn 1; acs 0; bm Ra4#; ce 32766; dm 1; pv Ra4#;
q7/8/5n2/nN1Q4/8/1p1B4/1p1pp3/bK1kr3 w - - acn 1; acs 0; bm Nc3#; ce 32766; dm 1; pv Nc3#;
q7/8/5k2/p1P2p1K/P4Pp1/8/8/1n6 b - - acn 2; acs 0; bm Qh1# Qh8#; ce 32766; dm 1; pv Qh8#;
q7/8/5k2/N7/1r6/2n3p1/7b/K7 b - - acn 3; acs 0; bm Qh1# Qxa5# Rb1#; ce 32766; dm 1; pv Rb1#;
q7/8/5k2/5p1K/5P2/8/4p3/8 b - - acn 2; acs 0; bm Qh1# Qh8#; ce 32766; dm 1; pv Qh8#;
q7/8/5k1n/4R2B/3b4/R4r2/1r6/B6K b - - acn 11; acs 0; bm Rf1# Rh3#; ce 32766; dm 1; pv Rh3#;
q7/8/5b2/8/8/5k1K/8/8 b - - acn 1; acs 0; bm Qh8#; ce 32766; dm 1; pv Qh8#;
q7/8/5Q2/6R1/7k/2p5/3B4/4KB2 w - - acn 3; acs 0; bm Qf2# Qf4# Qh6#; ce 32766; dm 1; pv Qf4#;
q7/8/5P1q/8/P7/N2Pp1k1/8/Q5K1 b - - acn 3; acs 0; bm Qah1# Qg2# Qhh1#; ce 32766; dm 1; pv Qhh1#;
q7/8/5K2/2q5/5n2/3Bk3/8/8 b - - acn 1; acs 0; bm Qaf8#; ce 32766; dm 1; pv Qaf8#;
q7/8/4p3/4N3/3kB1n1/2p1N3/b4P2/KR2n2r b - - acn 3; acs 0; bm Bd5#; ce 32766; dm 1; pv Bd5#;
q7/8/4p3/4K3/B2N3N/4Q1B1/2R2R2/3k4 w - - acn 17; acs 0; bm Qc1# Qd2# Qe2# Rc1# Rf1# Rfd2#; ce 32766; dm 1; pv Rf1#;
q7/8/4p3/2nb4/2pRnkPK/r1rpb3/1Np5/7B b - - acn 1; acs 0; bm Qh8#; ce 32766; dm 1; pv Qh8#;
q7/8/4k3/4p1p1/6P1/4K3/5r2/8 b - - acn 1; acs 0; bm Qf3#; ce 32766; dm 1; pv Qf3#;
q7/8/4k3/1P2Pr2/6KB/7P/3r3R/3R4 b - - acn 1; acs 0; bm Qf3#; ce 32766; dm 1; pv Qf3#;
q7/8/4N3/2pbP2Q/3R2n1/2nppkpR/4p2p/3rB2K w - - acn 6; acs 0; bm Ng5# Qf5# Qxg4# Rf4# Rxg3#; ce 32766; dm 1; pv Ng5#;
q7/8/4N3/2pbP2Q/3R2n1/2nppkpR/4p2p/3rB2K b - - acn 1; acs 0; bm Rxe1#; ce 32766; dm 1; pv Rxe1#;
q7/8/3p1Rp1/2p3P1/2nrpKP1/p2pp1B1/7P/1bbB1knQ b - - acn 1; acs 0; bm e2#; ce 32766; dm 1; pv e2#;
q7/8/1p2k3/4r3/P4P1p/2R4P/1B2pK1R/8 b - - acn 1; acs 0; bm e1=Q#; ce 32766; dm 1; pv e1=Q#;
q7/8/1k6/4n3/8/1n2K3/4R3/5Nr1 b - - acn 1; acs 0; bm Qf3#; ce 32766; dm 1; pv Qf3#;
q7/8/1R6/kpQ5/8/1K6/1P6/8 w - - acn 2; acs 0; bm Qxb5#; ce 32766; dm 1; pv Qxb5#;
q7/8/1P4q1/k5P1/7p/B1pp3P/1p6/3K4 b - - acn 3; acs 0; bm Qh1#; ce 32766; dm 1; pv Qh1#;
q7/7r/4p1p1/1b4Qp/p2Bk2P/P7/1PP2K2/8 w - - acn 1; acs 0; bm Qe5#; ce 32766; dm 1; pv Qe5#;
q7/7n/2N5/2P3pk/8/5K2/4r3/1Rqr4 b - - acn 1; acs 0; bm Qe3#; ce 32766; dm 1; pv Qe3#;
q7/7k/8/P7/8/8/4N2K/4n1r1 b - - acn 2; acs 0; bm Qg2# Qh1#; ce 32766; dm 1; pv Qh1#;
q7/7k/6R1/4QB2/4p3/8/PP6/K1B5 w - - acn 8; acs 0; bm Qg7# Qh2# Rg1# Rg2# Rg3# Rg4#; ce 32766; dm 1; pv Rg4#;
q7/7k/3r4/pP5p/R1K3pP/1r6/8/5N2 b - - acn 1; acs 0; bm Qd5#; ce 32766; dm 1; pv Qd5#;
q7/7N/1nb3p1/5k2/5B2/5Rp1/n1r4p/rB5K b - - acn 2; acs 0; bm Bxf3#; ce 32766; dm 1; pv Bxf3#;
q7/7K/6rb/R4b2/2B4r/BR6/k7/7Q w - - acn 20; acs 0; bm Rb2#; ce 32766; dm 1; pv Rb2#;
q7/7K/6rb/R4b2/2B4r/BR6/k7/7Q b - - acn 20; acs 0; bm Rg7#; ce 32766; dm 1; pv Rg7#;
q7/7K/6R1/4bb2/8/8/1PPk4/8 b - - acn 1; acs 0; bm Qh8#; ce 32766; dm 1; pv Qh8#;
q7/6pr/8/r7/5B2/5QPk/5p2/5b1K b - - acn 1; acs 0; bm Qxf3#; ce 32766; dm 1; pv Qxf3#;
q7/6n1/2B5/4p3/3bK3/8/1n4k1/8 b - - acn 1; acs 0; bm Qxc6#; ce 32766; dm 1; pv Qxc6#;
q7/6bp/QK3n2/2r2pp1/4n1P1/7k/3N1P2/8 b - - acn 3; acs 0; bm Nd5# Nd7#; ce 32766; dm 1; pv Nd5#;
q7/6b1/3k4/3b4/3p1p2/4n1p1/2np2Np/2rr1Q1K b - - acn 2; acs 0; bm Bxg2# Rxf1#; ce 32766; dm 1; pv Bxg2#;
q7/6b1/3k4/3b4/3p1p2/4n1p1/2np2Np/2rQ3K b - - acn 2; acs 0; bm Bxg2# Rxd1#; ce 32766; dm 1; pv Bxg2#;
q7/6R1/pRPk1N1Q/P4P2/2P5/K3BP1B/P3P3/3N4 w - - acn 3; acs 0; bm Ng4# Qf4#; ce 32766; dm 1; pv Ng4#;
q7/6Q1/bnppPn2/5P2/R1pk1P2/1pbprp2/1Np5/K2R3r b - - acn 5; acs 0; bm Rxd1# cxd1=Q# cxd1=R#; ce 32766; dm 1; pv cxd1=Q#;
q7/6P1/P1p5/N7/4QR2/k7/8/KBR5 w - - acn 8; acs 0; bm Qa4# Qb4# Qd3# Qe3# Qf3# Rc3# Rf3#; ce 32766; dm 1; pv Rf3#;
q7/6B1/8/8/2p5/3k1bp1/P5N1/1r2r1NK b - - acn 2; acs 0; bm Bxg2# Rxg1#; ce 32766; dm 1; pv Bxg2#;
q7/5r2/R2Kpk2/6p1/7p/8/8/6b1 b - - acn 2; acs 0; bm Qd5# Qxa6#; ce 32766; dm 1; pv Qxa6#;
q7/5r2/8/k2r1P1K/8/4P1p1/4R3/1R6 w - - acn 1; acs 0; bm Ra2#; ce 32766; dm 1; pv Ra2#;
q7/5p1k/6pn/3rp3/8/3NK1P1/P4P2/5bN1 b - - acn 1; acs 0; bm Rxd3#; ce 32766; dm 1; pv Rxd3#;
q7/5p1b/5P2/1Q6/R1N1pRpB/3kP3/1P1p4/3K4 w - - acn 2; acs 0; bm Qb3#; ce 32766; dm 1; pv Qb3#;
q7/5k2/3P4/p7/Pp6/8/5r2/1K6 b - - acn 1; acs 0; bm Qh1#; ce 32766; dm 1; pv Qh1#;
q7/5k2/2N2p1K/5P2/8/1p6/8/4r3 b - - acn 2; acs 0; bm Qh8# Rh1#; ce 32766; dm 1; pv Rh1#;
q7/5k2/1p3P2/p7/P1P2P1P/1n2B1P1/2N4K/3r4 b - - acn 2; acs 0; bm Qh1# Rh1#; ce 32766; dm 1; pv Rh1#;
q7/5R2/b1RBk1P1/1r1N4/2Q5/5K2/8/8 w - - acn 14; acs 0; bm Nc7# Nf4# Qe4#; ce 32766; dm 1; pv Nc7#;
q7/5Qpk/4B2p/p7/8/4P3/PP1r1n1P/2R3K1 b - - acn 1; acs 0; bm Qh1#; ce 32766; dm 1; pv Qh1#;
q7/5Q2/7k/8/8/4P1R1/3K4/7N w - - acn 2; acs 0; bm Qg6#; ce 32766; dm 1; pv Qg6#;
q7/5Nr1/2k5/4p3/4N3/4P3/4r2p/7K b - - acn 2; acs 0; bm Qa1# Rg1#; ce 32766; dm 1; pv Rg1#;
q7/5K2/3r4/4k3/8/8/8/1q6 b - - acn 3; acs 0; bm Qbb7# Qh7# Rd7#; ce 32766; dm 1; pv Rd7#;
q7/5B2/5k1K/8/3P4/8/8/8 b - - acn 1; acs 0; bm Qh8#; ce 32766; dm 1; pv Qh8#;
q7/5B1b/pp2R3/1PpkB1N1/2R1n1P1/3p1p2/QN1Pp2p/4K1br w - - acn 9; acs 0; bm Rd4# Re7# Re8#; ce 32766; dm 1; pv Re7#;
q7/5B1b/pp2R3/1PpkB1N1/2R1n1P1/3p1p2/QN1Pp2p/4K1br b - - acn 4; acs 0; bm Bd4# Be3# Bf2# f2#; ce 32766; dm 1; pv f2#;
q7/4r3/8/8/8/5k2/8/5K2 b - - acn 1; acs 0; bm Qa1#; ce 32766; dm 1; pv Qa1#;
q7/4r2b/8/4k1p1/1r6/4K1P1/3PPB2/3Q1B2 b - - acn 6; acs 0; bm Kd6# Kf6# Qe4#; ce 32766; dm 1; pv Qe4#;
q7/4q2k/8/6r1/5K2/8/8/8 b - - acn 3; acs 0; bm Qae4# Qaf8# Qe5#; ce 32766; dm 1; pv Qe5#;
q7/4prk1/n6n/1p2Pp1p/1p2P3/3KB1Pp/3RN2P/7R b - - acn 1; acs 0; bm Qxe4#; ce 32766; dm 1; pv Qxe4#;
q7/4p3/pp2p3/k3K3/1r6/1P1p4/3P4/8 b - - acn 3; acs 0; bm Qd5# Qe4# Re4#; ce 32766; dm 1; pv Re4#;
q7/4p3/4R1Np/3pKBkr/3P1R1p/4Q3/3p3P/3b4 w - - acn 6; acs 0; bm Re4# Rf1# Rf2# Rf3# Rg4# Rxh4#; ce 32766; dm 1; pv Rg4#;
q7/4p1kp/1N3n2/5B2/7P/4p1B1/1R5K/r7 b - - acn 2; acs 0; bm Qh1# Rh1#; ce 32766; dm 1; pv Rh1#;
q7/4n3/4P3/5N2/1pRKn3/3B2b1/7k/8 b - - acn 1; acs 0; bm Nxf5#; ce 32766; dm 1; pv Nxf5#;
q7/4n1N1/1B3pp1/1B1k3b/p1N2p2/5p2/2Qp1p1p/5nbK w - - acn 1; acs 0; bm Qd3#; ce 32766; dm 1; pv Qd3#;
